,0,full_statement,sentiment,GF_complexity
1,Operator,"Ladies and gentlemen, thank you for standing by. Welcome to the CACI International First Quarter FY '21 Conference Call. Today's call is being recorded. [Operator Instructions],At this time, I would like to turn the conference over to Dan Leckburg, Senior Vice President of Investor Relations for CACI International. Please go ahead, sir.",0.2625,9.82
2,Dan Leckburg,"Well, thank you, Chad, and good morning, everyone. I'm Dan Leckburg, Senior Vice President of Investor Relations for CACI International. Thank you for joining us this morning.,We are providing presentation slides, so let's move to Slide number 2, please. There will be statements in this call that do not address historical facts, and as such, constitute forward-looking statements under current law. These statements reflect our views as of today and are subject to important factors that could cause our actual results to differ materially from anticipated. Those factors are listed at the bottom of last night's press release, and are described in the Company's SEC filings. Our safe harbor statement is included and should be incorporated as part of any transcript of this call.,I would also like to point out that our presentation will include discussion of non-GAAP financial measures. These should not be considered in isolation or as a substitute for performance measures prepared in accordance with GAAP.,Let's turn to Slide 3, please. To open our discussion this morning, here is John Mengucci, President and Chief Executive Officer of CACI International. John?",0.09523809523809525,12.93
3,John Mengucci,"Thanks, Dan, and good morning, everyone. Thank you for joining us to discuss our first quarter fiscal 2021 results and guidance. With me this morning are Tom Mutryn, our Chief Financial Officer; and Greg Bradford, President of CACI Limited, who's joining us from the UK,As we all continue to address the COVID-19 pandemic, I'd like to take a moment to thank our employees for their dedication. You all have risen above expectations to continue supporting the important missions of our customers and this company, and you've done so in a safe manner.,You have also supported community programs, delivering food to hospitals, first responders and food banks. Your commitment to fulfilling customer missions while supporting our communities and neighbors, during this time, is beyond admirable. I couldn't be more humbled by the positive impacts we have collectively delivered, and I thank each of you for your efforts.,Slide 4, please. Now turning to our first quarter fiscal '21 results. We delivered significant growth, profitability and cash flow. We grew revenue by 7% and net income and earnings per share by almost 40% compared to a year ago. Profitability was higher than expected, primarily as a result of favorable contract performance as well as enhanced cost controls in the COVID environment. We continue to mitigate the impact of COVID-19, working closely with our customers to safely return employees to work.,This includes creative alternatives such as temporary skis, redesigning work plans. So more work is done outside of classified facilities and utilizing teleworking to the extent possible. We are fortunate that our business has been less impacted by COVID compared to other parts of the economy, both by the nature of our work and the specific actions we have been taking.,We have had less than 1% of our 23,000 employee population contract COVID. This is a testament to the hard work being done throughout our company to ensure work continues in a safe manner for everyone involved. These efforts have been quite successful, mitigating the overall COVID headwind below our initial estimates. As a result of this progress and strong operational performance, we are raising our fiscal '21 guidance to reflect higher revenue and net income growth, increased margin expansion and even more robust cash flow. Tom will discuss all of this in more detail shortly.,Slide 5, please. About a year ago, we held an Investor Day during which we introduced our 4-quadrant framework to describe our business. The framework depicts what and to whom we deliver. We deliver expertise and technology to enterprise emission customers. What's most important in that split is what we deliver: expertise and technology. When we provide expertise, we provide talent with specific technical, functional and domain knowledge. When we provide technology, we provide software and hardware capabilities enabled by innovative R&D. Expertise delivers respectable margins with low capital requirements and the opportunity to build past performance and deep customer relationships.,Technology is more differentiated with a higher growth addressable market and higher average margins. In order to enhance transparency into our business, we are now disclosing revenue by expertise and technology. You'll notice that in the first quarter of fiscal 2021, we reported growth in both revenue streams and drove faster growth in the higher-margin technology stream. This is consistent with our strategy and supports our financial objectives to outgrow our addressable markets and expand margins.,Slide 6, please. We had solid contract awards in the first quarter, representing a book-to-bill of 1.3 times with wins across all 4 quadrants and more than half of the awards representing technology work. We also continue to execute against our large and growing backlog of $22 billion, which is up 13% from a year ago. Within expertise, we won new work with the Department of Veterans Affairs to provide talent that will assist the VA in its financial management system modernization efforts. We also won work with the Department of Homeland Security to apply our data analytics experts to help them detect criminal activities.,Within technology, we significantly expanded our work with DHS to provide enterprise IT, utilizing an innovative service model to enhance productivity and efficiencies for both CACI and our customer. And we won new cybersecurity work within the United States Army, DARPA and the intelligence community. In addition, we are continuing to ramp recent large technology awards like BEAGLE and TCS, leveraging our differentiated capabilities and strong past performance to expand these programs.,For example, Agile software development is increasingly being recognized for its benefits and being utilized on larger programs, sometimes consolidations of multiple contracts. Our industry-leading Agile Solutions Factory and past performance are competitive differentiators that allow us to bring new work onto large marquee programs such as these, which will continue to drive growth beyond fiscal 2021.,Slide 7, please. To ensure CACI remains ready to address our customers' most critical priorities, we continue to invest ahead of customer demand. In addition to the higher value our customers receive, this investment allows us to generate intellectual property, enhance competitive differentiation and drive future growth all of which drive shareholder value. In cyber, we are investing in both offensive and defensive technologies as well as modeling the simulation environments to enhance training and effectiveness.,Around 5G, we are investing in capabilities and technologies to collect and process new 5G signals and frequencies, adding 5G capabilities to our expanding number of sensors and developing tools to ensure the resiliency of 5G networks. More broadly, we are addressing the convergence of signals intelligence, electronic warfare, cyber and communications to enable the U.S. to dominate the electromagnetic spectrum. And around Artificial Intelligence, we have over 100 projects developing AI capabilities across many areas of our business. All of these investments are targeted at well-funded areas of the Federal budget, supporting solutions necessary to combat both counter tourism and near peer threats.,While on the topic of investment, I'm very pleased with the performance of our recent acquisition of Ascent Vision Technologies, or AVT. The bottom line is they're delivering in line with expectations, enhancing their EOIR product offerings and providing value-creating synergy solutions. We have had several joint meetings with representatives from the DoD joint counter UAS office, or JCO, discussing their desired enhancements to both the AVT Mobile and CACI fixed site offerings. Internally, we are already working on ways to leverage AVT's technology into CACI's large fixed site, counter-UAS installed base and vice versa.,Slide 8, please. CACI has been in business for nearly 6 decades. And during that time, we have prospered through many election cycles. One thing we've seen is that investment in defense is bipartisan, especially in times of an elevated threat environment like we see now. Our addressable market remains healthy. With all indications, we will continue to see sustained technology investment to support national security and IT modernization priorities. When we look at CACI's capabilities against these priorities, we see tremendous opportunity within our $230 billion and growing addressable market.,Our awards and backlog are a testament to CACI's ability to enable our customers to modernize IT infrastructure, in business applications, secure networks and communications and enhance offensive and defensive capabilities to enable the war fighter to dominate across all demands. Our alignment to these critical areas makes our business resilient, allows us to take market share and gives us confidence in going -- in ongoing growth prospects.,Now over to Tom to provide even more insights into our financial performance and increased guidance. Tom?",0.17886734136734136,14.74
4,Tom Mutryn,"Good. Thank you, John, and good morning, everyone. Let's turn to Slide number 9. Our first quarter was an excellent start to the year. We generated revenue of $1.5 billion, representing overall growth of 7% and inorganic growth of 6% with a simultaneous increase in margins. As John mentioned, we have begun to disclose revenue by expertise in technology.,Compared with the first quarter of last year, expertise revenue grew 2.5%, and technology revenue grew over 12%. Technology programs, on average, are delivering margins about 300 to 500 basis points higher than expertise. Both expertise and technology activities are important to our enterprise emission customers, and we see growth opportunities across all 4 quadrants. That said, the higher growth in technology is helping us drive our margin expansion.,Adjusted EBITDA margin for the quarter was 11.3%, an increase of 190 basis points from a year ago.,The majority of this improvement was our ability to drive favorable contract performance on several programs, including our creative efforts to materially reduce costs on certain fixed-price contracts while operating under COVID. In addition, we were successful in navigating in the new environment and minimize the direct and indirect impact of the pandemic.,We continue to drive strong program execution and to control costs. We were able to keep our indirect costs in line with last year, indicative of our ability to realize efficiencies and control costs while investing for growth. Net income of $94 million increased 38% from the first quarter of last year as did diluted earnings per share.,Slide 10, please. First quarter operating cash flow, excluding our AR facility, was $193 million, an increase of $78 million from a year ago, reflective of our revenue growth, margin expansion and effective cash collection and working capital management. We successfully invoiced in collected revenue associated with Section 3610 work even with the complex requirement.,The deferral of the employee payable tax payments under the CARES Act contributed around $30 million to the quarter's cash flow. DSO was at 54 days, excluding our AR facility, down from 59 days from last year. We closed the first quarter with a net debt to trailing 12-month adjusted EBITDA at 2.4 times, nearly unchanged versus the last quarter even with the acquisition of AVT.,Slide 11, please. We are increasing our fiscal '21 revenue guidance range by $50 million, which implies higher organic growth of around 6.3% at the midpoint. As we continually successfully and safely return people to work, we expect the COVID-19 impact through calendar year-end to be around $50 million less than initially anticipated, a credit to our team. We are also raising our fiscal '21 net income and cash flow guidance.,The $25 million net income range increase consists of around $10 million from the lower COVID impact, while the remaining is due to the first quarter onetime favorable contract performance. We now expect fiscal '21 operating cash flow to be at least $600 million driven by higher revenue, margin expansion and continued strong working capital management.,With expected FY '21 CapEx of around $70 million, free cash flow is expected to be approximately $530 million. Free cash flow margin, that is free cash flow divided by revenue, adjusting for the $55 million annual payroll tax deferral is very healthy at around 8%. And full year free cash flow conversion after adjusting for the payable tax deferral is expected to be in the 125% range as a percentage of net income at the midpoint.,The midpoint of our FY '21 adjusted guidance also implies adjusted EBITDA margins of around 10.8%, up from 10% from last year. Excluding the items I already mentioned, the underlying margin of the business is unchanged from our initial guidance. We continue to demonstrate our ability to grow revenue organically while increasing margin.,Given the strong performance, we now expect diluted earnings per share growth of around 18% at the midpoint. And lastly, our full year effective tax rate is expected to be around 22.5% with a lower tax rate in the second quarter due to the impact of vesting the stock awards, which were granted in prior years.,Slide 12, please. Turning to forward indicators, our prospects remain strong. For FY '21, we now expect 90% of our revenue to come from existing programs, 6% from recompetes and 4% from new business. We have $9.5 billion of submitted bids under evaluation with over 70% of that for new business to CACI, and 60% of the submitted bids representing technology work. We expect to submit another $16.4 billion over the next 2 quarters, with over 70% of that for new business to CACI, and around 50% is expected to middle, representing technology endeavors.,With that, I'll turn the call back over to John.",0.180944684944685,14.84
5,John Mengucci,"Thank you, Tom. Let's go to Slide 13, please. We delivered a very nice first quarter, growing revenue, expanding margins and generating robust levels of cash. We are positioned well, performing well and producing strong results. We are effectively dealing with the impacts of COVID, and delivering organic revenue growth with margin expansion.,Before I turn the call over to questions, I'd like to address a concern that I believe is weighing on our sector broadly, and that is a potential for budget pressure over the next few years. Whether that turns out to be true or not, what I can confidently say is the CACI that entered the era of sequestration and budget downturns is very different than the CACI of today. We were primarily a company delivering enterprise expertise, mission expertise under OCO funding, and also had a significant element of our revenue coming from pass-through material buys for efforts in Iraq and Afghanistan.,So we had a book of business susceptible to budget pressures and directly impacted by the drawdown in Southwest Asia. Today, our business is remarkably different. We executed a purposeful strategy over the last 8 years to add significant elements of technology to our portfolio, an area that is more resilient and differentiated in any budget environment. We provide mission expertise in areas like Intelligence Analysis, Cyber and Engineering Services, and we have moved from enterprise expertise engagements to enterprise technology engagements, delivering capabilities in cloud migration, agile software development, Artificial Intelligence and Machine Learning.,In addition, since that shift, we have built a $22 billion backlog, almost 4 years of revenue of larger and longer duration contracts that gives us a higher level of growth visibility than ever before. The bottom line is we remain confident in our ability to create value for our customers and our shareholders.,Our employees' talent, innovation and commitment to our customers' missions is at the heart of CACI's strong performance and our success in executing this strategy. CACI's culture of character and innovation is the driving force of our success, not the result of it. I am proud of how our people continue to perform in these unprecedented times, and I am honored each day to work alongside each of you.,With that, Chad, let's open the call for questions.",0.26238505747126434,17.25
7,Operator,[Operator Instructions] And the first question will come from Robert Spingarn with Credit Suisse. Please go ahead.,0.25,10.46
8,Robert Spingarn,"Hi, good morning. And thanks for taking my question. John, you actually just hit on what I wanted to ask about, which is this disconnect, I think, in the stock and the backdrop. And it seems to us that the stock's discounting almost a 30% decline in free cash flow over the next presidential administration, and you did talk about how you're positioned. It would seem to us that even if there's budget pressure, there'll be a lot of focus on cyber and unmanned and on near peer adversaries. Could you talk a little bit more, again, about your portfolio and how you address those and whether that 30% type number is even remotely possible?",0.19027777777777777,10.81
9,John Mengucci,"Yes. Rob, thanks. I guess, first off, you mentioned cash, which is an absolute focus of everybody throughout this company. I'm very, very proud of what the entire team has done, driving DSO down with an absolute focus. So we are in a much better position today than we were even 1 year back, and I'll let Tom talk a little bit about that.,Yes, Rob, we're all watching what happens with our stock, and we're looking at -- are we positioned to the best of our ability as we move forward within this, some people are saying within this next era. Absolutely so. We are invested in things like Artificial Intelligence and Machine Learning and anything -- and electromagnetic spectrum. Things around -- investments placed very wisely in over a long period of time because we are a strategy-driven company. Strategy is a place where we come from. We have always watched the electromagnetic spectrum. We firmly believe that whether a counter terror, a task or a near peer threat were going to be best served by quick-to-field technology.,So we have invested heavily in EW. We've invested heavily in AI and Machine Learning and in 5G, both offensive and defensive measures as well as within cyber.,So as for where the government will continue to spend money, whether we're talking about reduced budgets or not, those are 5 to 7 areas that both parties, both candidates have been very specific upon, both want a strong national security. And where CACI is focused and where we deliver more times than not technology versus talent, we are absolutely focused on those areas. And we believe that is the key for our continued growth.,If I look at the intellectual property that we've picked up and the patents from our acquisition of LGS, from the capabilities of actually building devices and products from both AVT and Mastodon. Those are all very well thought out strategic M&As to ensure we have the right capability and the right customer gaps for us to persevere in any budget environment. Tom, do you want to talk a little bit about cash?",0.1870064484126984,14.27
10,Tom Mutryn,"Yes. Cash, as John mentioned, is a focus of us, we believe in strong cash flow -- is in all of our best interest. It kind of drives value to our shareholders. Again, I'm very proud of the efforts to kind of reduce DSO. And I will note that under the COVID CARES Act coveraging. We've been successful in navigating some complex invoicing requirements and collecting very effectively and efficiently with very, very low invoice reject or rework rates. So happy with that cash flow conversion by any metric, free cash flow or free cash flow as a percentage of revenue or net income, et cetera. We stack up quite well, and very proud of that.",0.5330952380952382,10.73
11,Robert Spingarn,"So as a follow-up to what you both said, given that you're growing EBITDA 29% this quarter, the stock is trading at 10% free cash yield is the way we do the math, and based on the comments you've both just made, is there a point where you say that your business is a better value than one you might acquire and you start to buy back stock?",0.3,27.2
