,0,full_statement,sentiment,GF_complexity
1,Operator,"Thank you for standing by, and welcome to the Flowers Foods' Third Quarter Question-and-Answer session Conference Call.,I would now like to hand the conference over to J.T. Rieck, Senior Vice President Finance and Investor Relations. Thank you. Please go ahead sir.",0.4,8.41
2,J.T. Rieck,"Thank you, operator, and good morning. I hope everyone had the opportunity to review our earnings release and presentation, and also listen to our prepared remarks, all of which are available on our Investor Relations website. Following the conclusion of today's Q&A session, we will also post an audio replay of this call.,Please note that in this Q&A session, we may make forward-looking statements about the company's performance. Although, we believe these statements to be reasonable, they are subject to risks and uncertainties that could cause actual results to differ materially.,In addition to what you hear in these remarks, important factors relating to Flowers Foods' business are fully detailed in our SEC filings. We also provide non-GAAP financial measures for which disclosure and reconciliations are provided in the earnings release and at the end of the slide presentation on our website.,Joining me today are Ryals McMullian, President and CEO; and Steve Kinsey, our CFO. And with that, Deborah can we begin the Q&A? Deborah, we're ready to start the Q&A please.,Question-and-Answer Session",0.18484848484848485,14.49
3,Operator,Thank you. Can you hear me now?,0.0,2.8
4,J.T. Rieck,Yes.,0.0,0.4
5,Operator,Okay. I'm sorry. [Operator Instructions] And your first question comes from Bill Chappell with Truist Securities.,0.08333333333333333,13.9
7,Ryals McMullian,"Good morning, Bill.",0.7,1.2
8,Bill Chappell,"Hey. I guess can you talk a little bit more about just what you're doing or what you're seeing on the price/mix in terms of the move of consumers more to branded? And I'm trying to understand, I guess first from a manufacturing standpoint, I mean, are you starting to change your mix? Where you're actually making less private label and making more branded just to reduce kind of sales? And then at the same point, is this really all just brand migration? Or is there any pricing in it?",0.14487179487179488,8.53
9,Ryals McMullian,"Yeah. So to start with the manufacturing concept, Bill, I mean as you know, we have pretty flexible manufacturing facilities. So the same plant that makes brand oftentimes makes private label too. So it's very easy for us to ship along with the consumer dynamics from private label to brand. But to layer on top of that, if you think about the Lynchburg bakery is probably a great example of moving up the mix chain, or up the margin chain depending on how you want to look at it towards our higher-margin products, and adding production capacity to serve the market that way.,From a pricing standpoint, not too much, we haven't seen too much pure pricing this year but the promotional environment is certainly well beneath historical levels. So average base prices are I guess are up some. We have seen that start to tick back up, a little bit more recently, but still well off the historical levels.",0.09431077694235591,14.37
10,Bill Chappell,"Got it. And I guess, just when I'm trying to understand the migration of the brands, I mean, there's one benefit from going from private label to Wonder. There's another one going up to Dave's Killer Bread. I mean, which is the bigger driver? Or is it kind of all of the above?",-0.00416666666666667,6.83
11,Ryals McMullian,"Yeah, I mean, it's kind of in totality. You're right in what you say. I mean, the DKB margins and the Nature's Own margins together would be higher than Wonder and some of the other brands. But any shift out of that lower-margin business to higher-margin business in totality helps the bottom line. But DKB obviously is a tremendous growth driver. Canyon has been a big growth driver this year, and both those carry, yeah, very high margins.",0.1527047619047619,6.23
12,Bill Chappell,"Got it. And then looking to next year, I realized you're not giving a guidance, but two questions. One what kind of impact on your business is the fact that 70% of U.S. school children are going to school at home or virtually or hybrid? And that – that might change and hopefully for a lot of us sometime in 2021? Does that – is it a positive or a negative impact? And then the same thing, I think Steve you had mentioned there was a variable comp component which understandably everyone is having a good year. What kind of switch does that turn into a tailwind as you kind of reset that to normal numbers for next year?",0.2577272727272727,10.27
