,0,full_statement,sentiment,GF_complexity
1,Operator,"Good day ladies and gentlemen, and welcome to today’s NCR Corporation’s Third Quarter Fiscal Year 2020 Earnings Call. A quick reminder that today’s conference is being recorded.,And at this time, I would like to turn the floor over to Mr. Michael Nelson, the Vice President of Investor Relations. Please go ahead, sir.",0.4583333333333333,8.28
2,Michael Nelson,"Good afternoon and thank you for joining our third quarter earnings call. Joining me on the call today are Mike Hayford, President and CEO; Owen Sullivan, COO; and Tim Oliver, CFO.,Before we get started, let me remind you that our presentation and discussions will include forward-looking statements. These statements reflect our current expectations and beliefs, but they’re subject to risks and uncertainties that could cause actual results to differ materially from those expectations. These risks and uncertainties are described in our earnings release and our periodic filings with the SEC, including our Annual Report.,On today’s call, we will also be discussing certain non-GAAP financial measures. These non-GAAP measures are described and reconciled to their GAAP counterparts in the presentation materials, the press release dated October 27, 2020 and on the Investor Relations page of our website. A replay of this call will be available later today on our website, ncr.com.,With that, I would now like to turn the call over to Mike.",0.10476190476190476,14.75
3,Mike Hayford,"Thanks, Michael and thank you everyone for joining us today. I will begin with an overview of our third quarter performance and an update on our progress executing against our strategic initiatives. Before turning it over to Tim, who will review our third quarter financial numbers, then Owen, Tim and I will take your questions.,I’ll begin on Slide 4 with the highlights from the third quarter. NCR delivered solid performance despite the current business and operating challenges that continue to be impacted by COVID-19. Our teams have continued to show resiliency in these unprecedented times and continue focus on taking care of our customers.,On our last call, I noted that NCR would start shifting management attention from the pandemic and instead get more focused on growing our business during the second half of 2020 versus the first half of the year. In the third quarter, we have successfully taken steps down that path.,First, one of the primary highlights of the third quarter was our strong free cash flow generation. We delivered $150 million of free cash flow in the quarter and $299 million of free cash flow through the first three quarters of the year. Tim will discuss in more details the drivers of our strong free cash flow production.,Second, we expanded EBITDA margin to 15.7% in the third quarter, which represents an increase of 220 basis points from the second quarter, and an increase of 10 basis points from the third quarter of 2019. As we discussed on our second quarter earnings call when the pandemic began, we focused on reducing cash costs. In the third quarter, we began to execute the productivity improvement initiatives that were temporary sideline by the pandemic. These initiatives are focused on reducing recurring costs to drive margin expansion and our performance in the third quarter is the result of some of these early actions we have taken.,Third, we delivered 7% recurring revenue growth in the third quarter. This marked our third consecutive quarter delivering that level of year-over-year growth, which speaks to the steady progress we are making generating increased recurring revenue, which is consistent with our 80/60/20 goals.,Fourth, we began taking steps to reduce our leverage and simplify our capital structure while also maintaining a strong liquidity position. Tim will speak to this in his remarks.,And finally, while we don’t expect a near-term end to the COVID-19 pandemic, we are adjusting to this new environment for both our customers and our NCR team. We continue to expect impacts to our business with hardware sales to be the most challenged.,Now, moving to Slide 5. We have forged ahead executing our strategy despite unprecedented market disruption. We have added new customers, deepened our relationship with existing customers and continued to invest in our strategic growth products like digital banking, Aloha cloud; Emerald, our retail cloud POS and payments.,We will continue to focus on a transformation to drive NCR as-a-Service and achieve our 80/60/20 strategic goals. In the third quarter, software and services were 71% of our total revenues and 53% of our revenues were recurring. EBITDA margin was 15.7%. In banking, we continue to have positive momentum in our digital banking platform with six new customers signed in the third quarter. We’ve also had success cross-selling existing clients with new products, including 12 business banking deals done in the quarter. Also, in the quarter, our digital banking registered users increased 12% to more than 24 million on a year-over-year basis.,We are also having increased success shifting our banking software revenue to recurring revenues, both software historically attached to an ATM sale as well as software unrelated to an ATM sale. In the third quarter, we signed nearly 250 banking deals to recurring revenue model that previously would have been sold as an upfront software license.,One example of the top five U.S. bank that recently agreed to a multi-year recurring software agreement to move to our Activate Enterprise, NextGen platform to modernize their software stack that serves a multi-vendor ATM environment. In retail, we are seeing increased adoption of our self-checkout solutions. We experience demand across customers and geographies as consumer preferences accelerate. We continue to be excited about the sales funnel of our Emerald offering, which is our next-gen, cloud-based retail point-of-sale solution.,In hospitality, the momentum of Aloha Essentials, which bundle software, services, hardware and payments continued in the third quarter. This model is proving itself in our ability to attract new customers, as well as better service existing customers. During the third quarter, roughly 80% of all SMB Aloha sites sold through our direct offices were sold as a subscription bundle, with payments attach rate also strong at roughly 80% for sales into new sites.,As we drive the transformation of our business, we will strive to be even more efficient and effective stewards of our resources. We continue to focus on taking care of our customers, advancing our product capabilities with investments in our strategic growth platforms and continuing to strive to improve our productivity.,With that, let me pass the call over to Tim.",0.16619865319865323,15.38
4,Tim Oliver,"Thank you, Mike and thanks to all of you on the phone for tuning in today. As it’s been our practice, my comments will again, presume a constant currency adjustment that removes the impact of foreign exchange. So, this quarter currency had only a minor impact.,Starting then on Slide 6, which presents a top level overview of our third quarter financial performance, as you can see, we added a rolling five-quarter view to these metrics. While they typically focus on year-over-year comparisons, the significant disruption to economic activity caused by the pandemic may overwhelm typical seasonality and make sequential comparisons illustrative at least for the next couple of quarters.,Starting in the top left, consolidated revenue was $1.59 billion, down $194 million or 11% versus the 2019 third quarter. As expected, revenue was negatively impacted by the broader economic pause, but the year-over-year decline did improve from the second quarter and in fact, revenue was up 7% versus our second quarter results.,We will dig into the more specific drivers of the decline by business unit, but in aggregate, $165 million or 85% of that decline is attributable to lower hardware revenue, which was down 26%. As Mike described in his remarks, our continued effort to shift to recurring revenue streams again, accelerated sequentially. We shifted $27 million or over 1.5 points of revenue that previously would have been booked upfront as a perpetual sale to a recurring revenue stream. This compares to just $11 million in last year’s third quarter or $22 million in this year’s second quarter. Sequentially, all of our business units showed growth and impressively revenue in our retail business was actually up year-over-year.,In the top right, adjusted EBITDA decreased $29 million, or 10% year-over-year to $249 million in line with the revenue decline and we were able to expand EBITDA margin rate by 10 basis points to 15.7%. Sequentially, adjusted EBITDA grew 24% and EBITDA margin rate extended by 220 basis points. This expansion was the result of cost reductions we initiated during the second quarter, but that reached their full impact in Q3. As Mike mentioned, we have now begun to drive significant productivity improvement initiatives across the entire organization that were planned for the spring, but were delayed by the pandemic.,And while actions take in Q2, like salary reductions and discretionary spending constraints were immediate and significant, they’re of a more temporary nature. Our ongoing productivity efforts are more permanent and of larger magnitude, which will assure sustainable margin expansion even at pandemic levels of revenue.,Similar to discussion of revenue, the shift to recurring revenue was an important descriptor of our relative EBITDA results. $21 million of adjusted EBITDA did shift out of the quarter, accompanying the respective revenue shift. This compares to $7 million in the year-ago Q3 and $18 million sequentially from Q2.,In the bottom left, non-GAAP EPS was $0.54, down $0.19 in the prior year third quarter and double the $0.27 we posted in Q2. The tax rate of 15% for Q3 declined due to lower annual income and the relative size and timing of discrete tax benefits within the year.,And finally, and maybe, most importantly, we delivered an exceptionally strong $150 million of free cash flow versus $57 million in the year-ago quarter. This increase is due primarily to an increased focus on working capital improvements particularly on pasty receivables, on cash cycle linearity, and on raw and finished goods inventory. Year-to-date, our free cash flow generation is $299 million versus a use of cash of $27 million through the first three quarters of last year,Moving to slide 7, which describes our Banking segment results. Banking revenue decreased $165 million or 17%, mainly driven by a 40% decline in ATM hardware sales. Our hardware sales remain soft due to the bank’s pandemic spending constraints. Remember that we also are comparing to a very extraordinary quarter in last year’s third quarter, where ATM sales were up 60%. On an absolute basis, ATM hardware sales seem to have settled into a relatively consistent range of $200 million to $250 million per quarter and we anticipate this range will persist at least for the next couple of quarters.,Most of the remaining decline in banking revenue can be attributed to the service revenue associated with a forgone installation of those new machines and the continued expansion of our recurring revenue model. Excluding the decline in new ATM hardware and the directly related revenues, our remaining banking businesses would have shown modest growth year-over-year.,Operating income decreased $47 million or 32% and operating margin rate dropped by 280 basis points to 12.7%. These declines were driven by lower revenue and the resulting unabsorbed costs, partially offset by lower discretionary spending and other caution that was put in place earlier in the year. Operating expenses were down 4%.On a sequential basis, revenue was up 2% and operating margin expanded by 60 basis points.,Moving to slide 8, which shows our retail segment results. Retail revenue increased $17 million or 2%. Last quarter, we discussed the delay for installing self-checkout units at several of our largest customers, as many of these customers were too busy operating their stores during the pandemic to undertake an installation project. as anticipated, these orders were delayed and not canceled. In the third quarter, we delivered some of those orders. As a result, self-checkout revenue experienced strong double-digit growth.,in concert with revenue, operating income was up $9 million or 25%. The increase was driven by higher revenue, as well as by discretionary spending and cost initiatives taken earlier this year. operating expenses were down 7%. On a sequential basis, revenue was up 15% and operating margin expanded by 460 basis points.,Turning to slide 9. slide 9 shows our Hospitality segment results. hospitality revenue decreased $43 million or 20%, driven primarily by lower hardware sales. As expected, our Hospitality segment has been the most impacted by the coronavirus with capacity limitations and changes to our customers’ behaviors. Third quarter operating income declined $3 million, mainly due to the flow-through impact from lower revenue while we were able to reduce operating expenses by 17% with our cost initiatives, prudently higher reserves on accounts receivable offset some of those savings. On a sequential basis, revenue was up 8% and operating margin expanded by 400 basis points.,Turning to slide 10, we provide our third quarter revenue results under our previous operating segments for both continuity and color. Software revenue decreased $44 million or 9% due to the shift from one time to recurring revenue, lower sales attached to new hardware and challenging conditions for our hospitality business.,Services revenue increased $15 million or 3%, driven by an increase in recurring services revenue including hardware maintenance, managed services, and digital connected services revenues, all partially offset by lower installation revenues.,And finally, as I mentioned previously, hardware revenue was most impacted in the quarter by the pandemic declining $165 million or 26%. ATM revenue declined 40% while the combination of self-checkout and point-of-sale declined 7%. Software and services as a percentage of total company revenue increased to 71% from 65% in q3 of 2019, admittedly in large part due to lower hardware sales.,recurring revenues increased $50 million or 7%, driven by a programmatic effort to shift our sales away from single sales events, characterized by perpetual licensing and uncertain service revenues to predictable multi-year commitments with relatively high certainty of revenue generation.,This quarter’s improvement came from shifting our professional services contracts to provide more standard ready services, shifting our software licenses to term licenses that include appropriate termination clauses and providing more services in the cloud. recurring revenue, as a percentage of total company revenue, increased to 53% from 45%, also benefiting from lower hardware sales.,On slide 11, we present free cash flow, net debt, and adjusted EBITDA metrics. As I mentioned earlier, we were very pleased with our performance in the cash side. free cash flow was $150 million for the quarter, which was a significant improvement from the $57 million in the prior year. Year-to-date free cash flow of $299 million, up from a use of $21 million in the prior year.,Our efforts to improve working capital and drive more linearity in our annual cash flow generation are working well. This slide also shows our net debt-to-adjusted EBITDA metric with a net debt leverage ratio of 3.1 times, which is consistent with last quarter, and with the prior year. As you know, at the end of March, we drew down over $600 million on our revolver. In the beginning of April, we issued a $400 million bond as a precautionary measure to derisk our balance sheet and ensure financial flexibility in uncertain times.,The cumulative effect of all those actions was a very solid balance sheet with sufficient liquidity and no significant near-term debt maturities. We ended the third quarter with $1.6 billion of cash, having already reduced our term note debt by $200 million. Since that time, we’ve executed a couple of other transactions to delever, which I’ll update on the next slide. We remain well within our debt covenants, and ended the third quarter with credit facility leverage of approximately 3.3 times well under our debt covenant maximum of 4.75 times.,And my last slide is slide 12, which provides a description of the three different, but related redeployments of excess cash to reduce leverage and describes the impact of those transactions. As we discussed last quarter, as we become less uncertain about the economic environment and become more certain about our ability to operate effectively at these pandemic impacted levels of demand. We have begun to reduce some of the precautionary leverage that we added back in the spring.,First, we addressed an approaching debt maturity stack in 2022 and 2023, and took advantage of a favorable credit market environment. In August, we closed two new bond offerings for $650 million at 5% and $450 million at 5.25% with maturities of eight and 10 years respectively. We use these proceeds augmented by $200 million of existing cash to redeem our prior $600 million 5% senior notes and $700 million, 6.38% senior notes. These transactions extended our weighted average debt maturities, eliminated near-term refinancing risk and lowered our interest expense. These new debt offerings will result in lower annual interest expense of approximately $19 million and as a result, are expected to be accretive to EPS in both 2020 and in 2021.,Second, at the beginning of the fourth quarter, we purchased and retired 132,000 shares of the outstanding Series A Convertible Preferred Stock, which represented about 32% of NCR’s outstanding convertible preferred stock. This transaction will reduce our annual dividend burden by more than $7 million and it’s expected to be net accretive due to the $4.4 million share reduction and our diluted share count on an annual basis.,And third, based on the strong free cash flow performance year-to-date and our confidence in the outlook for our business, early in the fourth quarter, we paid down $470 million of a revolver. This will further reduce our interest expense by $8 million. In total, since the beginning of the third quarter, we have redeployed a net $800 million in capital transactions for an annual savings of $34 million through lower interest and dividends.,And with that, I’ll turn it back to Mike for his closing comments.",0.09128517827202039,17.6
5,Mike Hayford,"Thanks, Tim. In closing, our key priorities moving forward are clear. First, we will continue to further execute on our NCR as-a-Service and 80/60/20 strategy. we have made notable progress this year despite some of the challenging conditions.,Second, our financial position is sound; we have ample liquidity and financial flexibility, while also investing in our innovative solution. We will continue to allocate capital in our strategic growth platform such as digital banking, Emerald, next generation aloha payments and digital-connected services. We will also consider acquisitions and paying down debt.,Third, we will continue to focus on driving significant free cash flow generation, which go hand in hand with advancing our strategy. Fourth, we are building momentum across the business for improved execution and performance in 2021.,And lastly, I’d like to extend an invitation to each of you to participate in our Virtual Investor Day, which is scheduled for December 3. we are looking forward to an event; intend to take a deep dive into our strategy and path forward in achieving our 80/60/20 goals.,Thank you for your time today. And with that, we will open up the call for your questions. Operator?,Question-and-Answer Session",0.14616402116402116,18.63
7,Matt Roswell,"Yes. Good evening. It’s actually Matt Roswell filling in for Dan. Hope everyone’s doing well. A couple of quick questions; first of all, on the margins and the cost reduction efforts, how much of what you had planned to do earlier in the year before pandemics hit, do you think you’ve accomplished and sort of how much is left?",0.21041666666666664,11.27
8,Mike Hayford,"Yes. So, we originally announced at the beginning of the year that we would do about $90 million of cost takeout in 2020. and as we call it a pandemic hit, we put that at all, we didn’t think was appropriate during very difficult time to be letting our employees go. So, we deferred any actions other than kind of a cost take-out that we could do. We took down some salaries that some of the executives have discretionary spend we would do and so some of those savings flowed into third quarter.,on the second quarter call, we talked about getting back to focus on executing our business in second half of the year, I think we call it 20, 20.5. And we said as part of that we’re going to get our cost structure aligned with our business. So, we did some of those actions in the third quarter. We have plans to continue to some into the fourth quarter. We will certainly reach that $90 million by the end of the year. So meaning, we’ll have a $90 million run rate as we head into 2021.",0.04229024943310657,11.31
9,Matt Roswell,"Okay. Switching to the banking business, with hardware, I think it’s – with the ATM business sort of being about $200 million, $250 million quarter, I think is what he said. Given the growth in digital and the other products, when do you sort of see a kind of a crossover point meaning ATM businesses kind of flattish, but then you actually see growth, because of the other pieces?",0.20714285714285713,15.54
10,Mike Hayford,"Yes. obviously, we had a strong ATM last year and this year, we’ve seen the bank feeling more cautious on some of their spending – on discretionary spending. Particularly, on the software side, they continue to make investments in digital banking and some of the other software products, as well as some of the professional services that we deliver with the software during 2020. I don’t know that we have a specific timeframe. As we’ve taught the last couple of years, our ATM business is still an important part of our strategy. We have shifted the focus to the digital side, digital banking, digital first on our software products and those continue to have pretty good strength here in 2020 versus ATMs, which have slowed down to a fair to do. Tim, if you want to add to…",0.16944444444444443,12.1
11,Tim Oliver,"yes. We’ve been running for the last several quarters at about $220 million a quarter on ATMs. And it’s been relatively consistent for the last three. I would expect for the next couple that’ll remain true as well. I don’t know at what point in time, banks will loosen up their capital spending. We would hope that there’d be a little pickup when that happens. But we ought to have easier comparisons in q1 next year, and be relatively flattish from an ATM perspective, which will allow the rest of our banking business to demonstrate its growth. I’d also like to say that in this quarter of the first one in a while, non-ATM hardware was higher in terms of revenue than ATM hardware was.",0.08295454545454545,8.76
12,Matt Roswell,"Okay. one more question if you allow me. switching over to hospitality, it looks like aloha seeing great demand. Are you seeing an acceleration in the shift to sort of the services model? You mentioned the central bundle? I mean, is that pandemic driven? Is that you all doing it? Or is that just – it’s time and it’s happening?",0.2975,6.67
13,Mike Hayford,"Well, I’d say primarily, our focus to shift that business to be able to run the restaurant. And so bundling up the software, bundling up the hardware, bundling up the services to install and support, and then bundling up the payment. That’s been the shift of our business focus and that’s why, those numbers we talked about 80% of our uptake is on a bundle. And the attachment payments have been very strong in the SMB market as well. I think it’s playing well, in a COVID market, where people in that certainly, the market need help getting up and running and they want subsidy. They want a single bet can come and deliver a full turnkey to run their restaurant. So, I think that’s part of this, I think the primary driver is a shift in our business model.",0.33659863945578233,9.14
14,Operator,"All right. moving on to our next questions from Stephens, we have Brett Huff. please go ahead.",0.14285714285714285,6.8
15,Joel Hoeffler,"Yes. Hey, guys, this is Joel on for Brett. thanks for taking our questions. So, just on digital banking, could you talk about maybe, the competitive environment, you guys seem to be more competitive and any color that you can provide on that would be extremely helpful. And then just as a follow-up to that, any color around penetration or adoption rates among your bank clients using digital banking? Thank you.",0.11499999999999999,12.3
16,Mike Hayford,"Well, I mean, I’ll start with the competitiveness. We talked about this – last year, we talked about this, this year. So last year, our team there, led by Doug Brown, did a phenomenal job, fairly changing, in particular, the digital insight, in terms of focus on customers and retention, and being able to start adding accounts. as they get into 2020, they continue to do that. I mean, we compete with everybody out there. We certainly believe we’re winning. competitively, time-to-time, where we’re probably going to lose one or two, handful here and there, but we feel really good that we’re not adding in 2019 – that we will not add 2020 in terms of the marketplace. And so I think that competitive aspect is exactly what doesn’t happen, our D3 product is doing really well as well.,So, we feel pretty good about digital banking as we move forward. the pickup rate and the adoption, I think we referenced the numbers and Owen will speak to it. But that’s what customers talk about is the shift to the potential. Owen, want to add some color there?",0.22533068783068785,12.14
17,Owen Sullivan,"I think consistent with what both Tim and Mike talked about what we are clearly seeing as a step-up in investment from the banks on their digital platforms. We’re seeing it both with the digital insight and D3 product. we’re seeing with the rest of the banking platform that we have in the market and it’s coming across in license, it’s coming across in the professional services space. And I believe we have talked about the step-up although we haven’t disclosed the growth. That’s not something we’ve put out there yet in terms of end market growth rates. but we clearly are seeing and this is COVID, enhanced a pickup in our customers and consumer activity on the digital platform.",0.07857142857142858,13.67
18,Operator,"Our next question comes from Dan Kurnos, who is with the Benchmark Company.",0.0,5.2
19,Dan Kurnos,"Great, thanks. Maybe, Mike, can you just give us some geographic color on what you’re saying, will just be helpful and I’ll leave it to you if you want to break it down by segment or not. And then just as we think about sort of this – the COVID driven evolution of the entire landscape. I know that you guys have done a great job with free cash right now, which probably gives you some of the MoU you want to go back to doing some of your tuck-ins. but how do you view that on the tech side versus maybe, partnership opportunities that could get you deeper penetrated into some of the verticals that we’re seeing develop here.",0.29126984126984123,18.67
20,Mike Hayford,"Yes. Let me I’ll throw the last one in terms of sort of the COVID impacts and where we see that. we’ve talked at this quarterly call and obviously, back in March and April, when this thing first, it was kind of hard to see the depth or the duration of, quite frankly, the pandemic, the health issue. But nonetheless, we had to make some assumptions. But I think we already said second quarter is going to be difficult. We said third quarter is going to be similar on a year-over-year. We did a little better in the third quarter than second quarter. If you look at year-over-year comparisons, I think we were 12% constant currency in the second quarter, a little better than the third quarter. I think now we would look at it and say, we don’t we don’t see the healthcare result yet.,And so it’s probably going to bleed a little bit into 2021. Certainly, we don’t think it’s going to be over with in the first quarter. So, when do we start to see, when we say, oh, when we get normality [ph], when people can go back to restaurants, when we can go to stores and operate normal? So, we think that pushed into next year, we did, as you pointed out, Dan and put a lot of focus the whole year on cash flow. We had very successful cash flow in the third quarter based on managing our costs, even with lower revenue and managing our cash flow itself. Year-to-date, we’re actually not only ahead of where we were last year-to-date, but I think, as Tim referenced, we’re at a higher number right now that we look at the full year last year.,So, we feel really good about the cash flow that gives us the opportunity. We took some of our debt off the table. We bought back some of our preferred stock, which is the expensive part of a capital structure. And then we announced in the second quarter call that we would start looking at opportunities to do tuck-ins, which we will do tuck-in acquisitions or other acquisitions that will help us grow and aggressively move forward. So, we will continue to do that going forward. Maybe, Tim, I just want to comment on how we kind of view 2020 and 2021 from a number’s perspective.",0.09861111111111112,11.72
