,0,full_statement,sentiment,GF_complexity
1,Operator,"Ladies and gentlemen, thank you for standing by. And welcome to the Nu Skin Enterprises' Third Quarter 2020 Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speakers’ presentation, there will be a question-and-answer session. [Operator Instructions] Please be advised that today's conference is being recorded. [Operator Instructions],I would now like to hand the conference over to your speaker today Scott Pond, Head of Investor Relations. Thank you. Please go ahead, sir. ",0.4,10.34
2,Scott Pond,"Thanks, Shannon, and good afternoon, everyone. Today on the call with me are Ritch Wood, Chief Executive Officer; Ryan Napierski, President; and Mark Lawrence, Chief Financial Officer.,On today's call comments will be made that include forward-looking statements. These statements involve risks and uncertainties and actual results may differ materially from those discussed or anticipated. Please refer to today's earnings release and our SEC filings for a complete discussion of these risks.,Also during the call, certain financial numbers may be discussed that differ from comparable numbers obtained in our financial statements. We believe these non-GAAP financial numbers assist in comparing period-to-period results. Please refer to our Investor page at ir.nuskin.com for any required reconciliation of non-GAAP numbers.,And I'll now turn the time over to Ritch. ",0.1114285714285714,12.47
3,Ritch Wood,"Thank you, Scott, and good afternoon, everyone. Thank you very much for joining us today. Amid the global uncertainty of this pandemic, we are so pleased with the stability and the strength of our business driven by our global sales force and customer base. Our thoughts and appreciation continue to turn to first responders, and all those, who are giving their all to help us through these challenging times. And we recognize our own first responders, those in our supply chain, our manufacturing and support groups, who are working around the clock to ensure our customers have product and our sales leaders have the support they need.,The third quarter was truly a remarkable quarter for our business. Generally, we see a seasonal decline due to vacation during summer months in many of our markets. Rather this year, we improved sequentially resulting in 19% year-over-year revenue growth and 37% EPS growth in the quarter. These results were driven by customer growth of 28% and sales leader improvement of 12% both enhanced by our socially enabled business model and the investments we have made in becoming a digital-focused company.,A particular note is the sequential improvement in sales leaders as we prepare for our new product introductions here in this fourth quarter. Our results are benefiting from an environment where individuals around the world are working from home and shopping more online. These results are also being driven by our focus to grow customers through our investments in three key areas, which we refer to as our 3P strategy: platforms products and programs.,First, our platform is our digital technologies that empower our sales leaders and affiliates to accelerate customer acquisition and increase their productivity. Second, is our healthy pipeline of innovative products and we are encouraged with early results in the new products we are launching this year. And third, we continue to provide an unrivaled opportunity for aspiring entrepreneurs to build a business with our unique and flexible compensation programs. Ryan will speak to each of these priorities in more detail.,The effective execution of our strategy is spurring significant growth in our west region, consisting of the Americas, EMEA, and Pacific markets where social selling has been more widely adopted by our sales force. Mainland China continues to stabilize with sequentially improving revenue, customers, and sales leaders, and we remain on track for a return to year-over-year growth in China in the fourth quarter.,Each of our other regions reported modest growth. I'm very encouraged with the improving geographic balance of our global business. Our manufacturing business has also performed well reporting 34% revenue growth in the quarter. And we're continuing to see strong demand from many customers.,Our manufacturers are also providing significant benefits to the Nu Skin business, as we continue to work through the supply challenges associated with COVID-19. We see tremendous potential in this segment moving forward.,We continue to lean in also on our sustainability efforts. This year, we've been particularly focused on our top 20 products, analyzing their environmental impact and making sustainable changes that are measurable. For example, our newly introduced Nutricentials line was awarded several Global Green Beauty Awards for its cleaner formulas and more eco-friendly packaging. And this is just the beginning of some exciting news and new ways, we're improving, the impact we have on the planet.,We generated very strong cash from operations in the quarter and continued to strengthen our balance sheet putting us in a strong position to create shareholder value going forward. Given the trends in customer and sales leader growth ahead of our product introductions in Q4, we are again raising our 2020 revenue and EPS guidance.,Overall, we are optimistic that our products will continue to be in strong demand as will the opportunity we provide for supplemental income to entrepreneurs all over the world. We are confident in our strategy, we're optimistic about the future and we believe the momentum we're generating now will help set us up for an exciting 2021.,With that overview, I'll turn the call over to Ryan. ",0.2266741182314953,16.39
4,Ryan Napierski,"Thanks, Ritch. Good afternoon, everyone. Over the past three years, we've been executing our strategy to transform Nu Skin to become the world's leading opportunity platform. Direct selling which has traditionally relied heavily on face-to-face word-of-mouth marketing is currently being impacted by the convergence of social commerce, influencer and affiliate marketing and the growing gig economy.,These macroeconomic shifts have also disrupted traditional advertising and retail business practices in favor of socially enabled and direct-to-consumer models. Most recently due to COVID-19, the migration to remote work and online shopping has further accelerated disruption across all industries. These shifts in the way people live and work present us with a unique opportunity to amplify the strength of our person-to-person sales model, as we evolve to become a digital-first socially enabled affiliate opportunity platform.,The power of word-of-mouth marketing has always been at the backbone of our business. And together with these converging macro trends we are seeing a new horizon of growth for Nu Skin as our affiliates grow their businesses online at an accelerated pace.,To enable this transformation and empower our leaders affiliates and customers, we continue to make significant strategic investments in our digital platform, our innovative product portfolio and our empowerment programs. These investments are crucial to ensuring the long-term growth of Nu Skin and I'd like to provide you with a quick update on each of them.,First regarding our digital platform. As we transitioned to the cloud, we've expanded our ability to access a host of micro services that are now enabling us to provide an enhanced online customer experience and digital tools to empower our affiliates and customers. These tools are designed to enable affiliates to focus on attracting new customers and developing their teams.,We're in the process of rolling out Vera, our personal recommendation app and My Site our personal offer app which empower our affiliates to build their businesses socially. Today, approximately 90% of our revenue flows through these -- through our digital properties.,Second, we continue to refine our approach to product innovation as we seek to provide customers with products that help them look and feel their best. We're excited about our latest beauty device system ageLOC Boost, which generated $30 million during the third quarter as we accelerated some early top leader previews in a few of our markets.,The U.S. and EMEA are leading out with Nutricentials Bioadaptives, which is targeted towards the millennial and Gen Z customer segments. We anticipate $70 million to $80 million of sales from these new product previews in Q4 ahead of the full launch in 2021.,Third, we continue to expand and refine our programs that provide an opportunity for people everywhere. The gig economy has disrupted traditional industries as people seek new or additional ways to supplement their personal or family incomes with greater flexibility to work at their own pace and in their own environments. This approach is new and unfamiliar for many companies, but it's not new to us.,Our Velocity sales compensation plan and enJoy rewards programs that were rolled out over the past two years continue to perform well supporting the accelerated growth in both customers and sales leaders that Ritch mentioned.,Our long-term strategy has contributed to our strong global results over the past few quarters as we build on a track record of improving performance around the world which is evidenced in the result of each of our major geographies. Over the past three quarters, we've seen an improving geographic balance with accelerated growth from our west markets, which now make up 30% of our business as our affiliates have embraced this socially enabled business model.,The American -- excuse me the Americas and Pacific grew by 90% in constant currency with customer growth of 92% and sales leader growth of 86%. A key contributing factor of this growth has been a strategic relaunch of our U.S. business that we spoke about a year ago and have referred to as Discover the Best U.S. ,We also generated significant growth in Latin America particularly in Chile where sales leader in customer growth is driving strong revenue trends in these emerging markets, which now account for more than 5% of global sales. We see great potential for continued growth in this region. ,EMEA also reported high double-digit growth of 67% in constant currency. This is supported by 59% growth in customers and 53% growth in sales leaders. We are seeing growth throughout the region led by the U.K., Poland and South Africa attributing to further adoption of this socially enabled business. ,We also experienced improvements in Japan and Korea where both markets grew modestly and are trending in the right direction. South Korea showed encouraging progress reporting local currency revenue growth of 5% driven by an increase in sales leaders due to the anticipation of the Boost launch. Japan continued to show favorable local currency growth of 4% and sales leader growth of 9% driven by an increasingly younger sales force. ,In Greater China, we're pleased with continued stabilization as the business has been on a long-term recovery following last year's setbacks in Mainland China. Mainland China reported a moderate local currency decline of 4%, but continued to show sequential improvements across the business as we transform to a digital-first approach and reduce our reliance on in-person meetings. ,With two consecutive quarters of sequential growth in our sales leaders and customers combined with an upcoming product preview we anticipate a return to revenue growth in the fourth quarter. ,Hong Kong and Taiwan were even with the prior year and had an encouraging leader preview of ageLOC Boost giving us optimism that these markets are moving in the right direction. ,Southeast Asia also reported constant-currency revenue growth of 8% due in part to a successful virtual convention which generated excitement in anticipation of the upcoming Boost previews. Customers were up 12% and sales leaders grew 5% over the prior year. ,We're encouraged by the adoption of our socially enabled business model in key markets like Indonesia and the Philippines and are looking forward to a successful Boost preview throughout Southeast Asia in the fourth quarter. ,So in summary, we're pleased with how the business continues to perform amidst the uncertainty in the broader global marketplace. Our ongoing investments are enabling us to transform our business from a traditional direct sales company into a socially enabled digital-first affiliate opportunity platform. ,We believe that the world needs what we have to offer and we're committed to our mission of scaling this business to empower as many people as possible as we work to become the world's leading business opportunity platform. ,And with that I'll turn the time over to Mark. ",0.15332322551662175,22.31
5,Mark Lawrence,"Thanks, Ryan. I will provide some additional color regarding our financial results give Q4 guidance and update our full year 2020 outlook. As a reminder, you can find additional financial information in our release and the supplemental slide in tables on the Investors section of our website. ,Third quarter revenue and earnings per share came in above the top end of our prior guidance. Q3 revenue was $703.3 million with a negative foreign currency impact of less than 1%. Earnings per share for the quarter were $1.08. Gross margin for the quarter was 73.9% compared to 76.2% in the prior year quarter. With Nu Skin gross margin moving from 78.6% in the prior year to 76.3% this year. ,Gross margin was lower largely due to two factors. First, freight. The significant sales increase in some of our markets required us to expedite product to keep in stock. The expedited freight coupled with incremental shipping costs associated with COVID-19 amounted to approximately $9.5 million and impacted gross margin by more than 1%. ,Second, our geographic mix is shifting due to the strong growth in the West region. The West has lower average gross margins than the East due to its product mix and pricing dynamics in the emerging markets there. While the growth in the West weighs on gross margin that impact to the P&L is largely offset by the lower tax rate generated by the increased profit from those markets specifically in the U.S. ,Selling expense as a percent of revenue was 39.9% compared to 39.3% in the prior year. ,Selling expense for the Nu Skin business was 42.4% compared to 41.5%. As we have referenced in the past selling expense increases as the number of qualifiers for incentive increases due to strong revenue growth. This is also reflected in our sales leader count which increased significantly.,General and administrative expense as a percent of revenue was 23.5% compared to the prior year of 25.1%. Our operating margin for the quarter was 10.6%. The other income expense line reflects a $500,000 gain compared to a $5 million expense in the prior year.,During the quarter, we generated $118.4 million in cash from operations paid $19.2 million in dividends and repurchased $20 million of our stock with $342.8 million remaining in authorization. We also reduced our debt by $72.5 million. Our financial position remains strong and we are confident in our ability to maintain adequate liquidity and flexibility to successfully navigate this current crisis pursue our strategic plans and return value to our shareholders.,Our tax rate for the quarter was 24.7% benefited significantly by increased U.S. profitability as mentioned earlier in my comments. Ryan spoke earlier about our digital transformation and it is worth noting that we are applying this in all aspects of our business.,For example we have deployed AI-powered predictive analytics to rapidly adjust product forecasts around the world enabling us to better allocate our supply. This key ability has helped us respond to surges in product demand and also become more efficient with our inventory levels in which our turns continue to improve.,Due to our strong third quarter results strengthening trends and the upcoming product introductions, we are increasing our annual revenue guidance by approximately $150 million. Our fourth quarter revenue guidance is: $720 million to $750 million including $70 million to $80 million of anticipated sales from new product introductions.,Earnings per share guidance is $1.10 to $1.20. This assumes a positive foreign currency impact of approximately 1% and a tax rate of 26% to 31%. Our 2020 annual revenue guidance is $2.55 billion to $2.58 billion with earnings per share of $3.35 to $3.45. This guidance assumes a negative foreign currency impact of approximately 1% and a tax rate of 27% to 30%.,With that we will now turn the call back to the operator for questions and answers. ,Question-and-Answer Session",0.06314162028447742,15.57
7,Steph Wissink,"Thanks, good afternoon. Two questions for you if we could. The first is just on the significant growth you've seen in your customer counts as you prepare for the launch of Boost. Can you talk a little bit about your marketing agenda? How you expect maybe to approach the end market slightly differently than you did with LumiSpa just as a comparison?,And then the second question, Mark really for you is just on the increase in guidance. Anything over and above the increase in the launch that's embedded in the guidance? Are you seeing a lift to your underlying business as well so a bit of a tethering effect in anticipation of the launch but also in the underlying business? Thank you.",0.1708333333333333,9.91
8,Ryan Napierski,"Yes Steph, maybe for the first question. This is Ryan, I'll take that. Yes the customer growth that we're seeing right now we're particularly pleased as the customer growth is coming largely through the socially enabled business. Now applying the Boost global previews in Q4 and into the main global launches in first half of 2021, we'll deploy a very similar model to how we deployed LumiSpa and those local launches will happen in the first half. I think that socially enabled model will -- we anticipate will continue to foster that customer growth.",0.11,10.45
9,Mark Lawrence,"Yes. And Steph to follow on to your question around the guidance for the fourth quarter. Our number is really driven by -- assuming that the trends that we saw in Q3 would continue into Q4. And as you noted in our comments, we did $30 million of Boost in the third quarter and we're anticipating an additional $70 million to $80 million in the fourth quarter. And so you can add that incremental number of $40 million to $50 million of Boost versus what we did in the third quarter to get to our number of our guidance.",0.04,11.84
10,Steph Wissink,Okay. Thank you.,0.5,1.2
11,Ritch Wood,"Thanks, Steph.",0.2,0.8
