,0,full_statement,sentiment,GF_complexity
1,Operator,"Good morning, everyone, and welcome to United States Steel Corporation's Third Quarter 2020 Earnings Conference Call and Webcast. As a reminder, today's call is being recorded.,I'll now hand the call over to Kevin Lewis, Vice President of Investor Relations and Corporate FP&A. Please go ahead.",0.375,11.33
2,Kevin Lewis,"Great. Thank you, and good morning. We appreciate your continued interest in U.S. Steel and welcome you to our third quarter earnings call. On the call with me this morning will be U.S. Steel President and CEO, Dave Burritt; Senior Vice President and CFO, Christie Breves; and Senior Vice President and Chief Strategy and Development Officer, Rich Fruehauf.,After the close of business yesterday, we posted our earnings release and earnings presentation under the Investors section of our website. On today's call, we will walk through via webcast select slides and our third quarter results. The link and slides for today's call can also be found on our website.,But before we start, let me remind you that some information provided during this call may include forward-looking statements that are based on certain assumptions and are subject to a number of risks and uncertainties as described in our SEC filings, and actual future results may vary materially. Forward-looking statements in the press release that we issued yesterday, along with our remarks today, are made as of today, and we undertake no duty to update them as actual events unfold.,I would now like to turn the conference call over to U.S. Steel President and CEO, Dave Burritt and he'll begin today's presentation on Slide 4.",0.2185515873015873,12.46
3,Dave Burritt,"Thank you, Kevin. Good morning, everyone, thank you for being a part of today's call and for your interest in U.S. Steel. The third quarter has improved to be a quarter of continued optimism. We have a lot to update you on about our optimism and progress before we open the line to your questions. Today also marks the one-year anniversary of our initial investment in Big River Steel with tremendous progress to report.,We'll get into more detail about that tremendous progress we've made together. But I want to take a moment now to thank the U.S. Steel and Big River teams for their collaboration, for making the first Generation 3 advanced high-strength steel at a mini mill and for creating an unmatched customer value proposition. The Best of Both teams have been through an unpredictable and unprecedented year, making their accomplishments that much more impressive.,So thank you to the U.S. Steel and Big River Steel teams of innovators for making the first GEN3 advanced high-strength steel at a mini mill and for creating an unmatched customer value proposition, we can't get to the future fast enough to deliver the value, our Best of Both customers demand and our stockholders deserve. There are three main messages I'd like you to take away from our prepared remarks.,Let's get started with number one. First, we are optimistic as the market recovery has continued into the fourth quarter. We believe market strength will continue through the first quarter of 2021 based on our stronger order book and customer collaborations. We believe market conditions can last and are confident about our performance for the rest of the year.,Second, we are seeing the significant improvements from the rapid response to COVID-19 in Flat-Rolled and U.S. Steel Europe, as we generated free cash flow in the third quarter. We're optimistic we will generate further improvements in the fourth quarter, which Christie will talk about later. And third, we're optimistic about the continued execution of our world competitive Best of Both strategy. Throughout 2020, we have been not only able to complete significant milestones of our Best of Both strategy but also reaffirm our optimism about the future by delivering unmatched process and product innovation for our customers.,Let's start with more about our Best of Both strategy execution on Slide 5. We continue to operate at industry-leading Days Away from Work safety performance, and are on track to improve on last year's record setting performance. We remain vigilant in our COVID-19 protocol, including emphasizing face coverings, physical distancing, and good personal hygiene to stop the spread of the virus.,Next, in addition, the actions we took earlier this year to fortify the balance sheet, we have delivered significant cash improvement in the third quarter. We generated cash from operations of $210 million, primarily from the release of working capital. We generated free cash flow of $76 million and we've increased liquidity by over $200 million in the third quarter and ended the quarter with nearly $1.7 billion of cash after reducing our ABL borrowing by about $900 million.,While navigating 2020, we also executed critical agreements related to the monetization of our iron ore of about $100 million before year-end. We also remain focused on delivering on our $200 million fixed costs reduction goal, which is ahead of schedule. I want to spend the last few minutes on this slide, celebrating our most recent Best of Both accomplishments.,Earlier this month, we completed a major milestone of our Best of Both strategy, the successful startup of our electric arc furnace at Fairfield, Alabama. As part of the startup process, the U.S. Steel EAF team at our Fairfield operation spent time with the Big River Steel team to learn EAF best practices to ensure a safe and efficient startup.,The new EAF and collaboration with Big River Steel are two proof points of our Best of Both strategy and ways we can provide value to our customers. The completion of our EAF delivers on our commitment to add sustainable steel making capability to our footprint while driving significant cost reductions.,For our customers, we will be more agile and nimble to deliver the steel they require to meet their specific needs. When you combine the EAF with our proprietary grades of premium connections, we are confident that U.S. Steel offers a unique value proposition to our customers. Congratulations to the Fairfield team on this important achievement. And thank you for completing the project safely in a truly extraordinary environment. And thank you to the Big River team for your support with EAF number one.,This month also marks another major milestone. The one-year anniversary of our initial investment in Big River Steel, which we will discuss starting on Slide 6. We couldn't be more excited about the progress made to-date, but this shouldn't surprise anyone. We are combining Big River Steel, which has the most advanced mini mill technology in the country with U.S. Steel’s outstanding R&D team. And the results have been remarkable.,We have successfully trialed and are beginning the qualification process on 11 U.S. Steel proprietary steel grades made at Big River. Take for an instance, for instance, our proprietary grades at Generation 3 advanced high-strength steel, not only have we successfully trialed these grades of steel, but we are in the qualification stage with OEMs to produce the GEN3 substrate for some of our most demanding applications.,We are producing grades of steel, many didn't think possible at all through a mini mill, let alone in the first year of a partnership. This makes for a winning solution for our customers. We can provide grades of steel once thought possible only from the integrated process. Now Big River is doing it with U.S. Steel through an EAF. This will create unmatched value and differentiation for our customers while ultimately providing the green steels our customers demand to achieve through their low carbon goals.,Let me repeat this, in case I wasn't clear enough. Generation 3 grades of steel substrate made at a mini mill, possible today. That's right a mini mill working with an integrated mill has GEN3 steel capability. This isn't a hypothetical or a long-term goal. This is a fact, and we're moving ahead with qualification so that our highly valued auto OEMs can use XG3 sourced at Big River in their next-generation of vehicles.,As Slide 7 shows, we are delivering on the Big River value proposition, including collaborating on 11 different steel grades that are going through the qualification process. Not bad for one year of working together. At the completion of Big River’s Phase 2 expansion, Big River will produce over 3 million tons of sustainable steel at the only lead gold certified steel making facility. This offering of green steels will meet the growing customer demand for sustainable steel in pursuit of climate change and decarbonisation targets. The Phase 2 expansion is also two months ahead of schedule, thanks to superior project management from the Big River team.,Slide 8. Just a few of the benefits of the expansion underway. Big River is near completion of the Phase 2 expansion and will unlock significant value as they reach full production. This will drive substantial operating leverage and efficiency that should go straight to the bottom line. We are confident that exceptional management and operating team at Big River Steel will ramp production efficiently and safely, so that we can continue to leverage significant progress we are making together. This brings me to my second point I mentioned earlier. We are optimistic about the recovery that has been underway for the past several months.,Slide 9, summarizes why we are confident. We believe today's market demand is sustainable and will continue into next year. As vacations, movies, concerts and dining out have been replaced by vehicle and appliance sales and home improvement projects, we have continued to see a noticeable increase in steel demand. This is supported by the September durable goods report released on Tuesday, which increased by 1.9%, compared with August report, while exceeding expectations of up to 0.5%.,Steel customers across our end markets are reporting both strong demand and low inventories. Take automotive OEMs, for example, low interest rates and the COVID induce change in spending patterns has led to more vehicle purchases and improved forecast in demand in 2021. Meanwhile, strong demand today will limit restocking opportunities which will support future steel production. We are seeing this across other U.S. steel end markets such as appliance and packaging. Additionally service center industry data suggests today's inventories are unsustainably low. Service centers are likely to prioritize restocking inventories while they balance increased customer demand.,Improved demand is also supported by current steel industry statistics, utilization rates in the industry are back to 70% in the U.S. after bottoming near 50% in the spring. Flat-Rolled utilization is likely even higher, near 80%, as demand for these products has exceeded long products and plate demand. These stats are further reinforced in current industry lead times for hot-rolled coil now extended past eight weeks.,These industry statistics plus our current order book and customer collaborations give us confidence that today's customer activity should continue into next year. To be sure we are prepared for the continued strong demand expected this winter. We are analyzing timing around restarting our Keetac iron ore pellet facility. The incremental iron ore production will de-risk our current blast furnace configuration, so we have the right inventory to meet customer demand while the locks are closed on the Great Lakes.,Before I pass it to Christie to talk about how the actions we've taken this year generated better than expected results. Let me provide an update on our capital spending and strategic projects on Slide 10. First our CapEx budget for 2020 remains unchanged at about $750 million. For 2021, we currently expect capital spending to be approximately $675 million. We believe this is right portfolio of projects for 2021, as we continue to execute our best of both strategy. The growing confidence in the sustainability of customer activity gives us the confidence to resume key strategic investments in our best of both strategy in a cash smart way.,Now I'll hand it over to Christie to discuss our third quarter performance and additional color for the rest of the year.",0.21948075475249382,12.63
4,Christie Breves,"Thanks, Dave. Good morning, everyone. Thank you for joining us. I'll begin on Slide 11. Our quarter-over-quarter performance highlights the improvement we're seeing across the business, as we significantly improved our Flat-Rolled EBITDA and turned EBITDA positive in U.S. Steel in Europe. Our ability to respond quickly and cost effectively to customer demand created significant operating leverage.,Adjusted EBITDA for the third quarter was a loss of $49 million compared to the second quarter loss of $264 million. We outperformed our third quarter guidance of adjusted EBITDA loss of $100 million, as a result of better than expected Flat-Rolled segment performance. Strong operational performance, cost management and higher shipments were tailwinds in our Flat-Rolled segment. This helped to offset the lower prices flowing through our Flat-Rolled results, primarily from quarterly and monthly contracts that still reflected lower index prices. Prices that have cents increased nearly $250 per ton from August lows.,In Europe, we returned to positive EBITDA and generated 8% EBITDA margin. Lower costs across all major spend categories drove positive EBITDA in the third quarter. Tubular results continue to be impacted by a difficult commercial environment. We have streamlined operations to our Fairfield facility, as we center our operations around our recently completed EAF at Fairfield.,Looking at cash, we delivered on our commitment to keep the business resilient by releasing over $250 million of working capital. We are also executing on our 2020 CapEx. For the quarter, we generated $76 million of free cash flow, a dramatic improvement and clear result of our continued enterprise focus on cash and cost management. We ended the quarter with nearly $2.9 billion of liquidity, including approximately $1.7 billion of cash.,Looking ahead, we expect higher steel selling prices to flow-through our monthly and quarterly Flat-Rolled contracts and expect volumes to be similar to the third quarter. As a reminder historically, approximately 40% of our Flat-Rolled order book is on annual contracts and is not subject to fluctuations in spot selling prices. We are pleased with the continued focus on cost and cash management at our European operations and the ramp of our tubular EAF will provide further opportunities for cost reduction in that segment.,To summarize, we reported better than expected third quarter results and are optimistic about our future performance. As we looked at 2021, we will maintain a clear focus on liquidity, as we resemble key investments in our best of both strategy.,Dave, back to you.",0.13357744107744107,13.54
5,Dave Burritt,"Thank you, Christie. Let's turn to Slide 12. Before we move to Q&A, let me summarize the key takeaways from today's call. We are optimistic about the recovery that has continued into the fourth quarter. We are optimistic that the actions we've taken are translating into improved results. And we are optimistic about the continued execution of our world competitive best of both strategy.,Kevin, let's move to Q&A.",0.3333333333333333,9.23
7,Operator,Thank you. [Operator Instructions] Our first question is from the line of Karl Blunden with Goldman Sachs. Please proceed with your question.,0.25,8.04
8,Karl Blunden,"Good morning and thanks for the time. Just wanted to speak first a bit about the CapEx control, I think the 2021 number was significantly lower than what many had expected, including ourselves. Is there a way to quantify how much incremental earnings power is being pushed back a bit with that CapEx coming down? How much of that is deferral versus efficiencies that you've found?",0.21694444444444444,10.84
9,Dave Burritt,"Thanks, Karl. And I'm sure that question or type of question like that is on everybody's mind. I'm going to make a few comments and then Christie, I'll ask you to further the dialogue here. And just want to make sure everybody understands what we're doing with this CapEx. We're allocating capital to our best assets and building in the optionality and the flexibility, so that we can deliver the most value on that CapEx spend. And I think you all know this, but it's safety and the environment first, and then the second thing is transitioning to the best of both strategy and we'll pull the trigger on that, when we can, I’d like to say – I'd like to do that yesterday on Big River, but we'll have to see how things unfold. We have quite a bit of time before we actually have to make that decision, but we feel good about the relationship with Big River.,And then lastly, it's about managing the cash and liquidity and making sure that we stage gate this capital for optimum value creation. Now, obviously in this last pandemic year, we did a lot of raising cash and we had some in-determinant delays and other priorities, like the endless caster on the hot strip mill and things like that. But as we get this upturn, we should be able to start pulling those things into 2021 and stage that – gate that appropriately and we built some of that into the $675 million that we talked about.,So Christie, maybe a little bit more.",0.26778846153846153,16.33
10,Christie Breves,"Okay, Dave. I'll make a few more comments on our 2021 CapEx plan. As we said earlier, our 2021 CapEx forecast is approximately $675 million in total. And it does include some resumed spending on our strategic projects. For the base business, we're currently expecting to allocate $415 million of capital and the rest will be on our strategic projects. So on those strategic projects, let me give you a few details on that. The endless casting and rolling project, we plan to resume equipment purchases and expect to draw on our export credit agency agreement for that.,So this will allow us to continue building the equipment as we monitor the right time to fully resume the project. The endless casting and rolling project delivers differentiated steel solutions for our customers, including advanced high strength substrate. And so it's really important that we continue to progress, but at a cash smart pace. And for this project, we're looking to spend approximately $150 million of capital next year on this project. At Gary Works, we plan to leverage the flexibility that we built in to our execution plan to invest about $80 million on the hot strip mill capability upgrades in conjunction with some of the planned outages that we have for next year.,So these investments will further differentiate this highly capable asset and it'll ensure that we meet our customer demands for high quality steels and that includes heavy-gauge line pipe and the substrate for advanced high strength steels. The remaining strategic spin is carry over from 2020. So looking at next year, we believe the 2021 capital budget supports our customers today with both safe and reliable operations and it supports the continued execution of our best of both strategy.",0.10285714285714286,13.16
11,Dave Burritt,"Thanks, Christie. So Karl, in a nutshell here, what we're doing is, we are allocating towards the best of both transitioning in that process as we get into next year and we talk with you next time at the end of January, we'll have more color on that as we transition to the future, but we are building in a lot of optionality and flexibility.",0.2833333333333333,29.08
