,0,full_statement,sentiment,GF_complexity
1,Operator,"Good day, ladies and gentlemen, and welcome to the Exelixis’ Third Quarter 2020 Financial Results Conference Call. My name is Holly, and I will be your operator for today. As a reminder, this call is being recorded for replay purposes.,I would now like to turn the call over to your host for today, Ms. Susan Hubbard, Executive Vice President of Public Affairs and Investor Relations. Please go ahead.",0.3,10.15
2,Susan Hubbard,"Thank you, Holly and thank you all for joining us for the Exelixis’ third quarter 2020 financial results conference call. Joining me on today’s call are Mike Morrissey, our President and CEO; Chris Senner, our Chief Financial Officer; Gisela Schwab, our Chief Medical Officer; Peter Lamb, our Chief Scientific Officer; and P.J. Haley, our Executive Vice President of Commercial, who will together review our corporate, financial, commercial and development progress for the third quarter 2020 ended September 30, 2020.,During the call today, we will refer to financial measures not calculated according to generally accepted accounting principles. Please refer to today’s press release, which is posted on our website for an explanation of our reasons for using such non-GAAP measures as well as tables deriving these measures from our GAAP results.,During the course of this presentation, we will be making forward-looking statements regarding future events and the future performance of the company. This includes statements about possible developments regarding discovery, product development, regulatory, commercials, financial and strategic matters. Actual events or results could, of course, differ materially. We refer you to the documents we file from time to time with the SEC, which, under the heading Risk Factors, identify important factors that could cause actual results to differ materially from those expressed by the company verbally and in writing today, including without limitation, risks and uncertainties related to product commercial success, market competition, regulatory review and approval processes, conducting clinical trials, compliance with applicable regulatory requirements, our dependence on collaboration partners and the level of costs associated with the discovery, product development, business development and commercialization activity.,And with that, I will turn the call over to Mike.",0.02826086956521739,22.57
3,Mike Morrissey,"All right. Thank you, Susan and thanks to everyone for joining us on the call today. Exelixis has continued to advance all components of our business in the third quarter, as we built the foundation to accelerate revenue growth for cabozantinib in 2021 with potential new commercial opportunities and a variety of mission critical developments and regulatory milestones. Please see our press release that was issued an hour ago for our third quarter 2020 financial results and an extensive list of key corporate accomplishments.,The highlight of the quarter was the ESMO presentation of the positive results from the CheckMate -9ER, the Phase 3 pivotal trial evaluating the cabo/nivo combination in first-line RCC. We’re excited to highlight the compelling activity of the cabo/nivo doublet, notably the significant improvement in overall survival with a doubling of both progression-free survival and objective response rate to extended duration of response, the improved tolerability with low discontinuation rates and improvements in health-related quality of life compared to sunitinib. The FDA has accepted our application and granted a prior review with the PDUFA date of February 20, 2021. The Exelixis commercial organization is launch-ready and the United States, should approval come sooner.,Our urgency and focus are driven by that consistent feedback from ESMO at -9ER represents best-in-class IO, TKI data and reinforced by recent market research, which indicates that a large number of previously untreated RCC patients could benefit from the combination of these two market-leading single agents. When the size of the first-line RCC patient population and long duration of PFS observed with the cabo/nivo doublet are viewed together, we project a potential doubling of cabo RCC revenues and expect to exit 2022 with a $1.5 billion annualized run rate in the U.S. if our assumptions and modeling are accurate.,Our first-line RCC remains our top priority as the next commercial growth opportunity for cabozantinib. We continue to make important progress with key discovery and development activities while advancing cabo’s potential utility in additional oncology indications. Notable progress has been made in Q3 and throughout 2020, and enrolling the four cosmic trials, including 021, 311, 312 and 313, as well as initiating three new global Phase 3 pivotal trials of cabozantinib in combination with atezolizumab as part of the CONTACT clinical trial program.,The success of CheckMate -9ER, coupled with data presented this year at various ESCO meetings for cabo/IO combinations in liver, prostate, lung and bladder cancers highlights the important role cabozantinib can play as a unique and differentiated TKI backbone. These early signals of compelling efficacy and tolerability may provide potential encouraging read through for current pivotal trials in new indications.,Finally, Exelixis continues to make significant progress in our growing early stage pipeline. We are excited to advance XL092 into ICI combination cohorts and share the initial detail of its discovery and early clinical pharmacokinetic characterization, which validates our overall efforts to build an improved next-gen multi-targeted TKI that phenocopies cabo’s target inhibition profile with a more user-friendly clinical half-life. We aim to apply our 15 plus years of clinical experience with cabo to a broad and accelerated development plan that has the potential to demonstrate a substantially improved risk profile compared to more typical early stage programs. We anticipate XL092 will move into full development in 2021.,Beyond XL092, our early stage pipeline continues to advance nicely with internal discovery efforts in a number of important new collaborations to reinforce our growing presence in ADCs. We expect to file up to four new INDs over the next six months as a result of our internal efforts and the work of our discovery partners. I’m incredibly proud of a commitment and focus displayed by the entire Exelixis team as we continue to drive our business forward during these challenging times.,So with that, I’ll turn the call over to Chris, who will provide an update on our Q3 financial results.",0.16255772005772007,22.57
4,Chris Senner,"Thanks, Mike. For the third quarter of 2020, the company reported total revenues of $231.1 million. Total revenues for the quarter included cabozantinib franchise net product revenues of $168.6 million. Net product revenues in the third quarter of 2020 were negatively impacted by lower demand and by a decline in wholesale inventory. Total revenues also included $62.5 million in collaboration revenues from Ipsen, Takeda and Genentech. Our total operating expenses for the third quarter of 2020 were $273.7 million compared to $183.9 million in the second quarter of 2020.,R&D expense was the primary driver of the increase in total operating expenses, which increased by approximately $61.8 million and was primarily related to increases in licensing and milestones fees associated with existing and new business development activities, stock-based compensation expense and clinical trial expenses from our continuing investments in cabozantinib and our emerging pipeline.,Provision for our benefit from income taxes for the third quarter of 2020 was the benefit of $6 million compared to a provision for income taxes of $13.9 million for the second quarter of 2020. The company reported a GAAP net loss of $32 million or $0.10 per share basic for the third quarter of 2020. The company also reported non-GAAP net income of $11.2 million or $0.04 per share on a fully diluted basis. Non-GAAP net income excludes the impact of approximately $43 million to stock-based compensation expense net of the related income tax effect. Cash and investments for the quarter ended September 30, 2020 was over $1.5 billion.,Now, turning to our fiscal year 2020 financial guidance. We have updated in the financial guidance we provided earlier this year to reflect the changes to our business in the second half of 2020. We are maintaining our total revenues guidance, which we expect to be in the range of $900 million and $950 million due to higher milestone and R&D reimbursement revenues.,Net product revenues are expected to be in the range of $700 million and $725 million. Cost of goods sold is expected to be approximately 5% of net product revenues. Research and development expenses are increasing due primarily to higher forecasted licensing expenses and are expected to be in the range of $550 million and $575 million, which includes non-cash expenses related to stock-based compensation of approximately $40 million.,Selling, general and administrative expenses are increasing due primarily to incremental personnel related costs and are expect to be in the range of $290 million and $300 million, which includes non-cash expenses, related to stock-based compensation approximately $70 million.,Guidance for the effective tax rate in 2020 is decreasing; it is now expected to be in the range of 14% and 16%. And finally, we’re projecting cash and investments to be in the range of $1.5 billion and $1.6 billion. This guidance does not include the impact of potential new business development activities.,And with that, I’ll turn the call over to Peter.",-0.007758136924803589,16.24
5,Peter Lamb,"Thanks, Chris. I’m happy to provide an update on our preclinical development and pipeline expansion efforts. Work at our discovery laboratories and Alameda is continuing following stringent protocols to protect the health of our employees. It is exciting to see the ongoing flow of data and we’re continuing to make progress on an early stage discovery program and I’d like to take this opportunity to thank all of our discovery team members for making this happen.,Work at our discovery partners, particularly Invenra, Aurigene and Iconic, has continued to advance as has preclinical development work at our network of CROs. As a result, we now have the opportunity to file up to four INDs in the next six months. This quarter, we could file INDs for the CDK7 inhibitor, AUR102 from our Aurigene collaboration, which going forward, we will refer to with the XL102; and the tissue factor-targeting ADC ICON-2 from our Iconic collaboration, which we will refer to as XB002, going forward. Early next year, we could also file INDs for XL265, a TAM kinase focused TKI from our internal laboratories and in second compound from our Aurigene collaboration with a novel mechanism of action.,We recently presented data on XL092, our next-generation MET, VEGFR, AXL, MER inhibitor that is currently in Phase 1 trials at the recent EORTC-NCI-AACR meetings. In addition, Aurigene presented data on XL102, the CDK7 inhibitor at the same meeting, and Iconic presented data on XP002 the tissue factor-targeting ADC at the recent World ADC Conference. We plan to present data on XL265 and the second Aurigene compound at major scientific meetings next year.,I will recap some of the key data from the XL092 presentation. XL092 is intended to build on the in-depth understanding that we’ve gained with respect to the clinical activity of cabozantinib, both as a single agent and in combination. Cabozantinib is a potent inhibitor of the RTKs, MET, VEGFR2, AXL and MER, which are widely expressed on tumor cells and on cells in the tumor microenvironment. Both MER and AXL are overexpressed in a variety of solid tumors and their activation drives tumor growth, survival invasion, and metastasis. In particular, upregulation of MET and increasingly AXL has been linked to resistance to multiple therapeutic interventions, including chemotherapy, targeted therapy and the angiogenic therapy, radiation and immune checkpoint blockade.,Both MET and VEGFR2 were also expressed in the tumor endothelium and their activation promotes tumor angiogenesis. All four RTKs are expressed in various immune cell types in the tumor microenvironment and the activation from multi-immune suppression. For example, activation of AXL and MER on tumor-associated macrophages promotes immune suppressive M2 macrophage phenotype. Activation of VEGFR2 promotes Treg and MDSC proliferation while MET activation inhibits antigen presentation by dendritic cells.,Upregulation and activation of MET in a suppressive subset of neutrophils also occurs in response to immune checkpoint blockade in a preclinical model and install to drive resistance. Cabozantinib assuming promising activity in combination with PD-1 or PD-L1 antibodies in Phase 1b and Phase 3 clinical trials. In the clinics, cabozantinib has the terminal half-life of about 99 hours, which results in initial drug accumulation and an extended washout period when drug is withdrawn. Arraignment optimizing XL092 was to identify a compound with a similar target inhibition profile to cabozantinib, but with a shorter clinical half-life.,The in vitro profile of XL092 shows that it’s potent inhibitor of MET, VEGFR2, AXL and MER in biochemical and cellular assays with the relative activities gets you to RTKs being comfortable to cabozantinib. Oral dosing of XL092 to tumor-bearing mice results in profound inhibition of MET and AXL activity in tumors and a VEGFR2 activity in lung tissue consistent with its in vitro profile. XL092, it’s highly active, but well-tolerated doses in multiple xenograft models with activity that’s cabozantinib. XL092 those who have been tested in the CT26 mirroring syngeneic colon carcinoma model this as a single agent and in combination with a PD-1 antibody. This model is relatively refractory to PD-1 antibodies and a PD-1 antibody alone did not improve the survival of mice compared to vehicle.,In contrast, single agent XL092 significantly improved survival, notably the combination of XL092 and PD-1 antibody resulted in a further improvement in survival, suggesting synergistic activity for the combination. All treatments were well tolerated. XL092 can’t be in a Phase 1 trial in patients with advanced solid tumors. Over four cohorts and two formulations that’s dependent on increases in Cmax and AUC revenues. The terminal half-life for XL092 is between 20 hours and 28 hours, significantly shorter than the 99 hour terminal half-life for cabozantinib. Overall, the data show the XL092 meets to go with maintaining the cabozantinib target inhibition profile while having a significantly shorter clinical pharmacokinetic half-life.,We’ve had a very busy quarter from the business development perspective and are advancing a number of discussions. We continue to assess opportunities in both the small molecule and biologic space, which we find scientifically compelling and when we see a clear path forward for us to effectively develop and commercialize with an emphasis on clinical – on a clinical stage programs.,We recently announced new collaborations with Redwood Catalent’s and NBE-Therapeutics to develop novel ADCs using their respective site-specific conjugation and payload technologies. Through these collaborations, we intend to develop a pipeline of ADCs to address a broad spectrum of tumor types by targeting selected tumor antigens, specifically matched with the most appropriate payloads for a given indication. These would follow on from what would be our first ADC to reach the clinic, XB002. That’s the subject of our collaboration with Iconic until which IND filing could occur in the near future. We look forward to providing additional updates on these BD discussions as they come to fruition.,I’ll now turn the call over to Gisela.",0.14218742042271454,17.01
7,P.J. Haley,"Thank you, Gisela. I’m pleased to discuss the CABOMETYX business as we head into 2021, which will be a transformative year for the brand as we anticipate our first potential combination approval in first-line kidney cancer and subsequently, further combination data presentations for cabo. the strong -9ER data positioned CABOMETYX to return the franchise to significant revenue growth. The momentum built with the launch could further be driven by additional data readouts and other important indications as the robust cabo development program continues to generate data.,I will discuss the opportunity that -9ER provides Exelixis. looking forward, as we continue to build upon the foundation in RCC, where we remain the number one prescribed single agent TKI. we are pleased that CABOMETYX market share remained stable in Q3 in our key segments, in both RCC and HCC. according to brand impact of IQVIA, CABOMETYX TRx share was stable at 31% in Q3 relative to 30% in Q2. while at the same time, TRx volume of the RCC oral TKI market basket of CABOMETYX, INLYTA, SUTENT and VOTRIENT declined by – in Q3 by 6% relative to Q2, CABOMETYX TRx volume declined by 3% in Q3 relative to Q2.,As I mentioned, our focus is squarely on future growth of the cabozantinib franchise and we were excited by the recent outcome and presentation of the CheckMate -9ER study. We believe that these results pending regulatory approval may provide us with the opportunity to grow CABOMETYX market share and increase duration of therapy in the first line.,the -9ER data in a presidential session was among the most high profile presentations at the 2020 ESMO conference and the data were extremely well-received by the KOLs and in market research we’ve conducted. The ICI combination opportunity is large with 15,000 RCC patients in the U.S. eligible in the first-line setting with ICI combination therapy consisting of approximately 80% of that market. according to this brand impact data, ICI-TKI combinations constitute 50% of the first-line market and are widely used across clinical risk groups demonstrating the broad potential for CABOMETYX with nivo in the first-line setting.,Additionally, ICI combinations constitute approximately 20% of the second-line RCC market. CABOMETYX was approved in RCC over four years ago. During this time, it has developed very strong brand equity and is viewed as the best-in-class TKI in RCC. The Exelixis’ team has significant experience in RCC with two prior successful launches and we look forward to the opportunity to educate physicians on the -9ER data post-approval, so that more patients have the opportunity to benefit from CABOMETYX therapy in the first-line setting.,The strength of the -9ER data speaks for itself, a doubling of median progression-free survival and ORR and superior overall survival versus sunitinib, which provides us with strong differentiation versus the other IO combination therapies currently available. Importantly, clinical benefits were observed in the vast majority of patients in the trial resulting in a low rate of primary progression, regardless of IMDC risk status or patient subtype supporting broad used in the marketplace. In addition, the optimized cabo combination starting dose of 40 milligrams daily yielded a compelling safety and tolerability profile along with a low treatment discontinuation rate and favorable quality of life, all of which has been notable with physicians in our research.,taken together, the combination of a best-in-class TKI like cabo with a well-established immune checkpoint inhibitor, like the nivolumab in RCC, along with the strong efficacy and safety data from CheckMate -9ER present the opportunity to share a compelling and highly motivating story to our customers and enable broad positioning across clinical risk groups in first-line RCC.,feedback on the CheckMate -9ER data with both academic and community oncologists has been extremely positive and we believe we can leverage the success and prescriber familiarity of both cabo and nivo to gain traction quickly in the combination setting when approved. our team is laser focused on launch preparation as we stand ready to engage our customers in both live and virtual settings as appropriate as soon as FDA approval is granted.,At the same time as we launch CABOMETYX in combination in the first line, there will continue to be patients progressing from ICI based therapy into the second line that will be eligible for CABOMETYX monotherapy. We continue to capture a very high percentage of that patient population and believe cabo may grow in the second-line setting as well.,There’s a great deal to be excited about as we think about the totality of the CABOMETYX RCC business looking forward. The -9ER data positions, cabo/nivo to take significant market share in the first-line setting and provides insights into the potential duration of therapy for CABOMETYX in combination. the median progression-free survival per investigator was over 19 months and the median duration of response was over 20 months in the study, pointing to the potential for the duration of therapy to be significantly longer than cabo monotherapy.,taken together, the increase in first-line market share and duration along with the potential growth in second-line, positions the CABOMETYX RCC business to vector towards a run rate of $1.5 billion in U.S. revenue by the end of 2022. this projection is of course, contingent upon our modeling and assumptions, which included a total of five ICI combinations in the marketplace. Furthermore, this does not include any potential incremental revenue from COSMIC-313, the triplet of cabo/nivo/ipi, or any other new cabo data readouts.,beyond -9ER, we were very excited by the cabozantinib development program, as it moves forward broadly across multiple indications with different combination partners. We look forward to building on this momentum in RCC, HCC, DTC, and other potential future indications, such as prostate and lung is our development program evaluating cabozantinib in combination with immune checkpoint inhibitors advances. our team remains highly focused and motivated to compete every day to bring the benefit of CABOMETYX to all eligible patients, as we continue to build the franchise and maximize its clinical and commercial potential.,And with that, I’ll turn the call back over to Mike.",0.1548891534391535,32.44
8,Mike Morrissey,"All right. thanks, P.J. As we outlined at JPMorgan in January, 2020 is a transitional year for Exelixis as we navigate important readouts from ongoing pivotal trials, like -9ER, and advance our pipeline with cabo lifecycle management activities and new indications and combinations, while at the same time, building a diversified portfolio of assets. to date, 2020 has been a year of significant achievement and progress across all components of our business in the face of the COVID-19 pandemic. Unfortunately, we continue to acknowledge the potential risk to our business, should the pandemic continue to grow in severity as we’ve all sadly seen over the last several months.,I’ll close by reiterating the three key themes from today’s call. First, we expect 2021 to be a transformational year for Exelixis and the cabo franchise as we project a -9ER approval to accelerate revenue growth for cabozantinib. based on the size of the first-line RCC market and long duration of PFS in -9ER, we expect to exit 2022 with a $1.5 billion annualized run rate for RCC in the U.S. if our modeling is accurate.,Second, we’re encouraged by XL092 as a next-gen multitalented VEGFR, MET, AXL, MER inhibitor with the more user-friendly clinical half-life and the significant opportunity it represents to broadly expand into new and existing solid tumor indications with a variety of IO backbones and combination strategies.,Third, we are aggressively advancing and investigating the diverse portfolio of next generation Exelixis cancer medicines, including both small molecule and biological modalities to increase our potential success in helping even more cancer patients with difficult to treat tumors.,I’ll close by thanking everyone at Exelixis for their efforts in the third quarter under conditions that appear to get more and more challenging each quarter. The majority of our team has been working from home for more than seven months now, and continues to meet the demands of our business with great teamwork, expertise, and energy.,I’m incredibly proud to say that the entire Exelixis team continues to work as one and making every day count as we discover, develop and commercialize, the next generation of our medicines for cancer patients in need of better and more effective therapies. We look forward to updating you on our progress in the future. Thank you for your continued support and interest in Exelixis and we’re happy to now open the call for questions.,Question-and-Answer Session",0.20051076971808676,28.5
9,Operator,Thank you. [Operator Instructions] Our first question is going to come from the line of Asthika Goonewardene with Truist.,0.25,11.81
10,Asthika Goonewardene,"Hi, guys. Thanks for taking my questions, and then showed a nice quarter again. A few if I may, Peter, can you maybe tell us a little bit about what mechanisms of actions besides PD-1 and CTLA-4 makes sense to you? I’m just wondering if they think about new negatives, vaccines and those kinds of mechanisms as well.,Gisela, totally understand that you have a lot of opportunity to accelerate development of 092, and we’re quite excited to see what you guys do there. But maybe, I was wondering, for those of us on the outside, when would we get maybe, a first glimpse of that single agent PD-1 combo data from the dose expansion?,And then Mike, I have to ask, you mentioned $1.5 billion in cash. That’s a nice chunk that you have to. How you think about business development activity for 2021? And maybe, to color up further, it’s still going to be more licensing deal focused or would the acquisitions could be underplay would be helpful. Thanks a lot, guys.",0.17160250463821894,11.39
11,Mike Morrissey,"All right. Asthika, there’s a lot there. Why don’t we start with Gisela and Peter on 092? Gisela, you want to start there?",0.2857142857142857,3.08
