,0,full_statement,sentiment,GF_complexity
1,Operator,"[Call starts abruptly] and instructions and how to do so will be given at the appropriate time. If you would like to view the presentation in a full screen view, click the full screen button in the lower right-hand corner of your screen. Press escape key on your keyboard to return to your original view. For optimal viewing and participation, please disable your pop-up blockers. ,And finally, should you need technical assistance, as a best practice, we suggest you first refresh your browser by pressing F5 on your keyboard. If that does not resolve the issue, please click on the support option in the upper right-hand corner of your screen for online troubleshooting. ,It is now my pleasure to turn to this program over to Mr. Patrick O'Brien, Senior Vice President, Investor Relations. Sir, the floor is yours.",0.24545454545454548,11.07
2,Patrick O'Brien,"Thank you. And welcome to Ligand's third quarter 2020 financial results and business update conference call. Consistent with recommendations for social distancing, all of our speakers for today's call are in separate locations. Speaking today for Ligand will be John Higgins, CEO; Matt Foehr, COO; and Matt Korenberg, CFO. We will be using slides to guide our discussion today. We will also use non-GAAP financial measures and some of our statements will be forward-looking.,Additional information concerning risk factors and other matters concerning Ligand can be found in the Ligand's earnings press release and the slides associated with this call and periodic filings with the SEC. As a reminder, Ligand undertakes no obligation to revise or update any statements to reflect events or circumstances after the date of this conference call.,With that, I would now like to turn the call over to John Higgins.",0.10729166666666669,14.0
3,John Higgins,"Thank you, Patrick. Good morning, and thanks for joining our call. I am pleased to report that Ligand is doing well and is closing 2020 in a strong position in terms of financial growth, portfolio expansion, and excellence in our business operations. ,We have some slides to go with our program today. I’d like to turn to Slide 4 how to start out. A simple slide, Ligand is delivering major value. We serve the industry. We serve our partners with our research and technology. ,There are several ways that we are supporting our partners, but first is helping them discover new medicines, secondly helping improve the safety of their medicines, and thirdly helping our partners reduce their cost to make their medicines. ,We are technologists. We are innovators, and we are proud of what we are doing to help facilitate the care in human health around the world. ,Let’s turn to Slide 5. I’d like to give some comments overall about the business and third quarter specifically. Q3 was an exceptional quarter across the board. M&A and major portfolio news are highlights, but we are also very pleased with our financial performance. Both of our major royalty-bearing assets posted growth with underlying revenue for products increasing in all major regions, Q3 over Q2 2020. ,Earlier in the year, as we discussed, we forecasted the pandemic would impact patient visits and start on some treatment in the short-term, but we are very pleased to see growth returning now, and in particular, Amgen noted recently that early indications point to a strong launch of Kyprolis and DARZALEX combined regimen for relapsed multiple myeloma following positive data and label expansion earlier this year. ,Now in terms of our expanding portfolio, we have completed multiple M&A transactions recently bringing top-tier partners to Ligand, and we’ve had a very productive year-to-date with entering into new license contracts granting technology rights to our partners. ,Notably, we have five partnered programs in development now more than ever before with five drugs where Ligand is entitled to a royalty projected to be up for approval in 2021 alone. For excellence in our business operations, it’s best illustrated by our ability to rapidly scale up production to meet the world’s Captisol supply need for the manufacture of remdesivir. ,One, remdesivir, it’s a Captisol partnership with Gilead we are very proud of. Our Captisol is required to make it. No other company provides the quality, the purity, the quantity, or the safety record for this vital ingredient. ,Veklury is branded now in the U.S. is the first and only FDA approved treatment for COVID-19. We know for society to get back to normal, we need treatments and we need vaccines. There will be other treatments eventually approved to add to the armamentarium, but this drug works and is considered today to be a part of the standard-of-care. ,As such, all current and future therapeutic clinical trials will be required to use remdesivir in the control arm. Of note, the U.S. Surgeon General said, just last Friday that while hospitalizations are starting to go up, the country’s COVID-19 mortality rate has decreased, thanks to multiple factors including the use of remdesivir. ,On their recent earnings call, Gilead executive remarked they have repeatedly seen the clinical benefits of Veklury across multiple clinical trials. They said in the past quarter, these benefits have been unequivocally demonstrated in global clinical trials. ,The definitive results from a fully powered, double-blind, placebo-controlled, and randomized trial showed an average reduction in the recovery time of five days. They see the pure review data from blinded and controlled trials as being the pinnacle of science in clinical studies today. ,They also commented that they currently estimate that roughly 40% to 50% of hospital live patients are getting Veklury right now in the U.S. Gilead also said that the percentages of hospitalized patients receiving Veklury is expected to grow with the FDA approval. Recent peer review publications and now that they have a field team to educate physicians on how best to determine appropriate patient population use of Veklury. ,Also note, Gilead reminded people that they are working on an outpatient treatment options under additional clinical trials to potentially expand the use of the drug outside the hospital setting. ,As for Ligand, the need for remdesivir is real and that could not be more clear to Ligand given our highly interactive work with Gilead to meet their Captisol needs. We are making as much Captisol as we possibly can at this time to supply Gilead in their international generics consortium. This is supply that we had not contemplated at the start of this year, and it’s adding about $16 million of revenue this year alone about a third of our total revenue forecast for 2020, and we see it adding significantly more revenue contribution next year. ,As we all know, the pandemic is raging right now worldwide and hospital rates are again skyrocketing. We think this will not only drive demand for remdesivir but also will reinforce to major medical markets how much the healthcare system and patients can benefit from this drug right now. ,Our long-term value proposition is based on our core business and our growth we project, but no doubt the additional Captisol we are selling to support remdesivir is driving upside, financial, and strategic benefit for Ligand and our investors. We are better off in the short-term as well, given our success in answering the call to supply this key manufacturing ingredient as inbound request for Captisol are now at an all time high. ,For the next few quarters, we forecast substantial sales for Captisol and the surge in business will enable us to support the expanding Captisol business long-term and allow us to invest in other R&D over the next 18 months to drive future growth. ,Along with my comments about remdesivir as an antiviral recruitment for COVID-19, we are also pleased to know that there are three different partners developing novel antibodies for treating COVID-19 that came from Ligand’s OmniAb platform. ,Veklury is the first and so far only FDA approved treatment for COVID-19, undoubtedly other treatments will come along to further support the medical needs in the market and we are pleased to have three different partners working on novel antibodies derived from a Ligand technology. ,Now, I’d like to switch to Slide 5 and just highlight the five main programs that are on deck for potential approval next year. This is an important calendar of news events while we have significant late-stage regulatory and clinical events as well. This is the largest calendar of potential approvals we had in our history tied to some very well-funded, high science programs.,One is partnered with CSTONE, a Chinese company that’s had some major news recently. We have partnership with Merck and Jazz another with Gloria and now with – this with Alvogen. Notably, two of these are OmniAB-based programs and three of them, the Merck, Jazz with Alvogen programs came towards via our acquisition of Pfenex.,We are excited about these assets and are pleased to see this calendar develop as they will create potential new royalty streams for us starting next year. ,Picking up on the basis for these programs, a quick comment about our OmniAB platform. The business is doing very well and continues to perform above our expectations. There are many highlight examples to call out but one recent development is the major commercial contracts that our partner CSTONE entered into partnering the commercial rights to their OmniAB derived antibody for a variety of cancers. ,The trial, the leading trial concluded on an early interim readout of data given the outstanding positive results in reducing the death rate for the patients for the rare form of lung cancer. This is CSTONE’s number one program and is derived from Ligand’s technology and we’ll get royalties. Investors have taken note and bid the CSTONE stock up to a $2 billion market value. ,More importantly, two major pharma companies, including Pfizer have recently struck major deals with CSTONE. The Pfizer deal is worth calling out as CSTONE announced the formation of a $480 million strategic collaboration that encompasses a $200 million investment in CSTONE and a major collaboration between the companies for the commercialization of CSTONE’s Ligand-based antibody. ,It’s a first in line treatment for Stage four squamous and non-squamous non-small cell lung cancer. We find this to be a bellwether deal as signature of financial events with CSTONE but a major validation for a Ligand discovered antibody for an important category. ,Another example of OmniAB’s stellar performance is Immunovant, which is also developing an OmniAB derived antibody. Immunovant announced positive top-line results from a multi-center placebo-controlled Phase 2a trial for their antibody. It’s an antibody that was –that’s being used as a subcutaneous injection form for patients with myasthenia gravis. ,They are pursuing a registration-enabling Phase 3 trial in the first half of 2021. This is Immunovant’s lead program and their market cap has grown now to $4 billion, largely due to the success again of this Ligand-based antibody. ,Just a quick comment about our Pfenex acquisition since three of these approvals that we’re looking at next year are based on acquired assets through the Pfenex deal. Pfenex has proven to be a great deal for Ligand in just a few short weeks since we closed the deal. Matt Foehr is going to provide more color on that acquisition, but we see it as transformative to Ligand. ,We project that it will add meaningfully to our financial growth both in revenue and profitability. Our royalty revenue is the main driver for our business and Pfenex is projected to boost our royalty revenue by about 50% as we look out to next few years. ,In addition, the proprietary protein expression platform is backed by top-tier existing partners and we are in discussions right now with multiple other parties for additional licensing in 2021. ,Alright, now as I wrap up, I’d like to go to Slide 7 and just make some remarks about our growth as we see going forward. We’ve provided guidance last week at our Analyst Day for 2021 calling for robust adjusted diluted earnings per share growth of more than 50% year-over-year. This outlook assumes funding two promising internal programs, PSA 10, which we just gained from our Pfenex acquisition, as well as CE-Iohexol. ,Funding these high value projects over the near-terms should not be viewed as changing our long-term R&D spend and we remain committed to lean operations and strong annual profit growth over the years to come. ,Overall, we see accelerating growth for Ligand. This year so far, our revenues and earnings are up sharply over last year and given the information we have in the business right now, we are forecasting over 50% top-line and bottom-line growth for 2021 over 2020. The growth is coming from big increases in royalty and Captisol revenue. This outlook is supporting our ability to keep having strong cash flows and investing in the business. ,Now, for a more detailed review of our financial results and guidance, I’d like to turn the call over to Matt Korenberg. ",0.1532282003710575,19.04
4,Matt Korenberg,"Thanks, John. As John mentioned in his comments, the third quarter of 2020 was a very busy period for Ligand; we announced three acquisitions on the strategic front including our largest ever; we announced the sale of our Vernalis business shortly after the quarter ended and we had a robust top-line driven by our Captisol material sales, combined with strong financial results across the business. ,More specifically, total revenues for the third quarter of 2020 were $41.8 million and included $9 million of royalty revenue, $23.4 million of Captisol material sales and $9.5 million of contract revenue.,With respect to the royalties, Kyprolis revenue at Amgen for Q3 of 2020 was up over Q2 2020, but was down year-over-year as sales continue to be impacted by the pandemic as fewer new patients began treatments for Kyprolis due to the COVID-19. Ono in Japan, again had outstanding sales for Kyprolis, posting $17.3 million in Q3, the largest quarter ever for the product in Japan.,Evomela revenues in the U.S. and China were higher both year-over-year and sequentially. Our true royalty growth for the quarter was obscured principally by an anomaly in Q3 2019 that included a larger than typical true-up from Q2 2019. Adjusting for these true up items, despite the pandemic, royalty revenue in Q3 2020 would have grown slightly, rather than declined slightly versus Q3 2019. ,Captisol sales of $23.4 million in the quarter, compared to $6.8 million a year ago, up over 240% or over three times the level on 2019 similar to our Q2 trend. Our contract revenue in Q3 2020 was in line with our revised expectations provided at our Analyst Day last week, coming in at $9.5 million as compared to $8.2 million a year ago. ,Adjusted diluted EPS for Q3 2020 was $1.4 or a 112% higher than Q3 of 2019. In addition, we generated $12 million in cash flow from operations in the quarter. We finished the quarter with approximately $795 million of cash, cash equivalents and short-term investments. After closing the Pfenex acquisition, the day after the quarter closed on October 1st, our adjusted cash balance was approximately $400 million. ,Turning to guidance on Slide 10, we provided updated guidance last week at our Analyst Day. As a reminder, our top-line guidance is now $170 million of total revenue for 2020, up from our previous guidance of $165 million. ,Royalty revenue is expected to be $33 million for the year, up from $32 million in our most recent guidance. Captisol revenue expectations are now $92 million for the year, up from our previous guidance of $90 million, and contract revenue is expected to be $45 million for the year, up from previous guidance of $43 million. ,The $170 million annual guidance results in Q4 revenue of just over $53 million, which is consistent with our previous guidance for the second half of 2020 revenue will be more heavily weighted to Q4. ,Regarding the rest of the P&L on the expense side, we expect an overall corporate gross margin for the year of approximately 80% to 85%, we expect cash operating expenses for 2020 of $73 million to $75 million. These cash expense estimates incorporate the Taurus, xCella and Pfenex transactions and also assume that the Vernalis transaction closes in Q4. ,These revenue and expense components translate to full year 2020 adjusted earnings per diluted share of approximately $3.95, which is up 57% from the 2019 diluted EPS of $2.52 adjusted for the Promacta sale.,For the next couple of slides, I’ll dive a little deeper into each of the revenue lines. On Slide 12, you can see the royalty revenue trends for the last four quarters. Our 2020 guidance of $33 million implies a Q4 royalty number of $10.3 million. We arrive at this estimate assuming that our two major products grow in Q4 versus Q3. As John mentioned, both Kyprolis and Evomela grew quarter-over-quarter in Q3 in each region around the world. ,Focusing more now on the Captisol business on Slide 12, you can see from the chart on the right that for 2020, we were consistently operating at a much higher level than we were for the past few years. We believe that 2021 will again take another step up with quarters averaging over $45 million versus the low 20s million average we saw in 2020. ,Our estimates for Q1 2021 are supported by binding orders and forecasts from our partners. With the pandemic developments around the world continuing to create a very dynamic situation, the ultimate need for treatments may fluctuate dramatically from month-to-month. However, we continue to believe that the manufacturing demand for Captisol for 2021 will sustain at these higher levels. ,Related to contract revenues, the chart on the right of Slide 13 shows that Q4 is expected to be the highest quarterly total we’ve had in the last two years. As investors know, contract payments and timing will move up and down as the flow of partnered clinical trials and progress with programs ebbs and flows. Q4 of this year is lining up to be a quarter where we see many events hitting all at once. ,In addition to approximately $7 million of service-related revenue in the quarter, we expect a number of OmniAB events, Vernalis events related to contracts that we’re retaining in the transaction and protein expression events to generate significant Q4 revenue. ,On the last slide that I’ll cover today, I am showing a summary of the 2020 full year expected results versus the 2019 full year. On the left, you can see that 2020 revenue will far exceed the 2019 number with nice contribution from each revenue line. ,On the EPS chart on the right, you can see that EPS exceeded each quarter in 2019. Obviously, the 2020 bars on these charts include the contribution of Captisol sales related to remdesivir. In 2020, the added demand related to remdesivir contributed about 33% total revenue. In 2021, we expect the remdesivir-related demand will contribute approximately 55% to our total revenue. ,The core business though remains strong and will grow nicely into 2021, but we’ll utilize the extra remdesivir-related revenue and cash flows to reinvest in the business improve the strength and diversity of the core business. ,Finally, before I turn the call over to Matt for - direct listeners to review our Q3 earnings press release and slides issued earlier today and available on our website for a reconciliation of our adjusted financials to GAAP reported items. ,With that, I’ll turn the call over to Matt for some comments on the portfolio and pipeline. Matt? ",0.05398633027665285,21.31
5,Matt Foehr ,"Now on Slide 16, our technologies and the license associated with them form the foundation of our portfolio. Our technologies enable new medicines through our licensing partnerships and ultimately help patients by meeting major unmet medical needs. This morning, I’ll review each of our core technologies and discuss the integration of Pfenex into Ligand, as well as our strategy and plans for our new protein expression business. ,I am referring now to Slide 17, which highlights the suite of technologies within our OmniAB platform. We believe OmniAB continues to be the best-in-class of advanced antibody discovery tools. We continue to innovate and invest in the OmniAB platform with internal R&D efforts, academic collaborations and through acquisition. ,Our partners value the work we do and understand the importance of efficiently discovering solutions and antibodies in a variety of formats. Most recently, we acquired and integrated new technologies and scientists from xCella and Taurus Biosciences. The xCella technology brings in ultra-high resolution and high speed technology to antibody selection from our animals. ,Current and prospective partners are already seeing the value of this technology and we are already deploying it in multiple partnered programs. ,The Taurus acquisition brings cow-based CDRH3 humanizing binding domain antibody technologies to the OmniAB suite and we are branding the technology as OmniTaur. These antibody features some of the longest CDR3s of any species with unique generic and structural diversity that can enable binding to challenging targets with applications in therapeutics, diagnostics and in research. ,As we go forward, these acquisitions are expected to enable our OmniAB team to secure new licensing agreements and expand economics as a result of the additional tools and IP we can now offer to partners. We carefully look at multiple public and private platforms to acquire in order to continue our expansion of OmniAB and determine that xCella and Taurus represented the best fit and opportunity. ,And now I’ll move on to Slide 18 and note that multiple partners have leveraged our OmniAB platform for discovery of antibodies as potential therapeutics to treat COVID-19. The three partners are Takeda, Immunoprecise and Genovac. ,Our OmniAB partners see advantage to rapid discovery of fully-human antibodies with the platform as an antibody approach may be well positioned to neutralize emerging strains of the SARS-CoV-2 virus and OmniChicken is viewed as a unique system for discovering SARS-related antibodies, given the chicken’s known ability to map vigorous antiviral responses. ,And importantly our GEM Assay can be leveraged to select for rare antibody specificities including cross-reactivity with other respiratory viruses. We look forward to further updates from our partners as they disclose the details of their progress. ,And now moving on, I’ll provide an update on Captisol and refer you to Slide 19. This year has been a transformational year of growth for the Captisol technology on many levels. With globally recognized programs that use our Captisol technology, we’ve seen a record growth of inbound interest in the technology along with continued and growing business momentum. ,We’ve entered into more licensing deals for Captisol this year than any other year. Our partners are expanding their use into new delivery routes and we’ve expanded our intellectual property as stated. And all that happened in parallel to us greatly increasing our manufacturing capacity and global footprint, and meeting significant increases in demand for clinical and commercial material that Matt Korenberg described. We believe our Captisol technology is positioned very well for years to come. ,Moving on to Slide 20, the team at Icagen is managing our IN channel technology partnerships and they’ve had a very productive year, as well. They managed three high value partnered programs that are progressing rapidly and positioned to contribute meaningfully to the business in the future. ,There are two partnerships with Roche with more than $500 million in potential milestones associated with them, as well as potential tiered royalties and also a valuable collaboration with the Cystic Fibrosis Foundation. ,Icagen’s stats are in the IN channel space and their discovery successes with the current programs are now driving partnering interest from additional big pharma players for multi-year collaborations with potentially valuable back-end economics. We are excited about the future of this technology, which we added to Ligand in April of this year. ,And now switching to our newly added protein expression business on Slide 22. The acquisition of Pfenex closed four weeks ago and the integration of the business has progressed extremely well. We’ve realized synergies in the business and have also welcomed some fantastic new colleagues to Ligand. We are very excited about this technology and the prospects for future growth of the protein expression business overall. ,The technology is based around P. fluorescens which is a highly versatile organism for making therapeutic proteins. In a real simple sense, the technology makes complex drugs possible often times with increasing frequency, traditional systems are just not well-suited for the desired structural complexity of therapeutic proteins and our technology delivers significant competitive advantages to our partners including speed with which they can enter into clinical production, increased product quality and lower cost of goods. ,Our platform has an over 80% success rate in producing proteins that have previously failed in traditional systems like those based on e. coli. Keep in mind that these are proteins that companies have wanted to manufacture to progress into development, but simply can’t and our technology enables that. ,This then leads to valuable partnerships like the two that we’ve highlighted here on Slid 23 with Jazz Pharmaceuticals and with Merck. In the case of Jazz, they start to develop a recombinant Erwinia asparaginase to provide reliable, high-quality supply. Our technology enabled that for a drug that is now positioned for an approval filing in downstream economics to Ligand. ,Merck saw a high quality and reliable source for their global needs of CRM197 as a key carrier protein for their V 114 vaccine program. Merck has recently highlighted positive Phase 3 data and plans to file their BLA later this year. And it’s worth noting that this is a substantial program at Merck with 16 Phase 3 trials enrolling over 18,000 participants in some 36 countries. ,This is a global opportunity in a multi-billion dollar existing market. Going forward, we see a growth trajectory for the protein expression business that can drive revenue and yield three different types of deals that are shown on Slide 24. ,And now a month into owning the business, we see clear paths and opportunities for partnered development deals, traditional asset out licensing deals and what we term as platform pairing deals. This is an important element of our overall strategy with the business. ,The partnered development deals around the platform are the type that yielded the Jazz transaction and partnership. These are where partners come to us to solve their manufacturing issues. These are generally collaborative deals and ones that leverage our teams’ deep knowledge and expertise. ,Out licensing deals are the ones where we license rights to an asset that was developed and enabled by our technology. These can be extremely valuable and have yielded partnerships like the Alvogen Teriparitide relationship and I expect we’ll see more deals like this in the near future as we leverage the past investments of Pfenex and the team’s knowledge around the programs. ,We also see significant potential for platform pairing deals where our technology is married to an in-house technology to partner to meet the key need. That’s been the case with the multi-program deals with both Merck and Arcellx and we expect to see more of these types of deals, as well. ,And lastly, on Slide 25, you’ll see a summary of our partnered pipeline that our valuable technology to create it. And we continue to expect this pipeline will grow and mature in the months and quarters to come. ,Before I turn the call back over to the operator for questions, I wanted to remind investors and recommend all to follow Ligand on Twitter. Twitter is a great platform for us to communicate updates on our partnered program progress and it’s a great way to keep up-to-date on our expanding portfolio in real time. ,And with that, I will turn the call back over to the operator for questions. Operator? ,Question-And-Answer Session ",0.13276897414512095,19.67
7,Matt Hewitt ,"Good morning, gentlemen. Thank you for taking the questions. A couple for me. First up, regarding the contract revenues or the implied contract revenue guidance for the fourth quarter, you mentioned $7 million coming from services, what kind of visibility do you have into the other payments that you are expecting in the fourth quarter given some of the variability that we are seeing because of the pandemic? ",0.23749999999999996,9.74
8,John Higgins,"Yes. Hey, Matt. Thanks for the question. Good question. There are a number of evens tied to some things like OmniAB trial advancements, things going from Phase 1 to Phase 2 or going into humans, but there is – those types of things are not publicly available or known in terms of timing precisely. But there is also a number of things that tie to events where partners have made public statements already around – as an example, starting a Phase 3 trial in the quarter or filing a BLA, those types of things. ,So, we have pretty good visibility into all of the events that we are counting in this number for the quarter, either publicly or privately. ",0.22777777777777775,17.56
9,Matt Hewitt ,"Great. Thanks. And then, another question, this is little, pardon me, a little more challenging, but you came out of the analyst event, provided some pretty impressive growth on targets for the next, call it, two to three years and really highlighting how the business is going to shift more and see more growth on the royalty side or I think you can argue, you are going to get more of a valuation benefit for your stock. ,But the stock didn’t react that way. And I am curious, what were your thoughts on that reaction? And what do you think investors are missing that might fill that gap? Thank you. ",0.28500000000000003,18.32
10,John Higgins,"Yes. Matt, it’s John. I’ll comment and Matt Korenberg can as well. The business this year, there are two major drivers that we are working to focus investors on. One of course, the developments with M&A and sometime M&A is not entirely obvious of what we acquired in terms of calendar of news events, partnered events, but also how products might ramp up with royalties. ,And Pfenex of course is the largest acquisition, but Icagen earlier this year, as well brought us some top-tier partnered assets. So, that’s one area of – I’ll say, development that really has built out very, very nicely. We are an M&A focused company. We think we are good at sourcing technologies and innovation to acquire and we know this. ,With Captisol that has been a home run acquisition, OmniAB as well, but we know with M&A, it takes a while for investors to fully comprehend how our technology acquisitions really drive value. So, that’s one thing we focused on at Analyst Day, and clearly when we are looking at three out of five of our potential approvals next year coming out of Pfenex, this is an area where royalty contribution and growth next two or three years we think will build out very nicely. ,The second part of the message really comes with our core business, the legacy assets. Every year, doing anywhere from five to 15 new licensing contracts, we know there is lead time to development. But we have seen an unprecedented run of good developments, positive developments, advancements with trials, with R&D investments and movement toward regulatory potential approvals with our legacy pipeline, and one of them of course is, sparsentan. ,We are excited about that Phase 3 data we expect here in the next couple of months, and while we do not call this out specifically in our long-term guidance, it’s mostly because the royalty economics to Ligand are very, very substantial. If we see positive data and it’s filed, clearly we are going to get more clarity for investors, but this is an exciting asset. The CSTONE, OmniAB based drug, we’ve talked a lot about that, but this really was not on people’s radar twelve months ago. ,So, that is a second area focusing investors on our developing portfolio of royalty-bearing assets, and this is coming together. We call this our core business. The legacy assets, coupled with new M&A, these two factors are coming together, but we do foresee and forecast significant royalty growth. We’ve had charts. We describe the map. ,And what’s important for royalty growth is to understand the margins, there is potentially 100% gross margins once we have contracts in that royalty revenue, there is no offsetting cost and there is very efficient operating cost throughout the rest of the P&L. So, we do forecast the revenue growth to be there and do believe that it’s going to create tremendous leverage with earnings and cash flow over that period too. Matt, I don’t know if you want to add any other color? ",0.2288677313677314,14.2
11,Matt Korenberg,"Yes. Thanks, John. I’d say, to reemphasize the point John made, when we gave our long-term outlook, we treated it as our long-term guidance as John just called it. I think some investors took that to mean that we didn’t have confidence in either sparsentan or Teriparitide getting CE approval over the long-term. We do have confidence in those events and rather than give folks the realm of possible, all of the products – assuming all products are approved and assuming peak sales are hit and all that sort of stuff. ,We gave, what we thought was – what I’ll call a risk- adjusted or a true guidance number that we think we can live up to in any circumstance with some upside from all those other events that we left out. So, I just want to point that out and remind people that those items are things we still have high confidence in, and we think that they’d be upside to the numbers that we talked about. ",0.05110795454545454,18.23
