,0,full_statement,sentiment,GF_complexity
1,Operator,"Ladies and gentlemen, thank you for standing by and welcome to the Q2 2021 Prestige Consumer Healthcare Earnings Conference Call. At this time, all participant lines are in a listen-only mode. After the speakers’ presentation, there will be a question-and-answer session. [Operator Instructions] Please be advised that today’s conference is being recorded. [Operator Instructions],I would now like to hand the conference over to your host. Director of Investor Relations, Phil Terpolilli. Sir, please go ahead.",0.8,10.8
2,Phil Terpolilli,"Thanks, operator, and thank you to everyone who’s joined us today. On the call with me are Ron Lombardi, our Chairman, President and CEO; and Chris Sacco, our CFO. On today’s call, we’ll begin with some topical remarks given the pandemic, review the results of the second quarter and first half fiscal year 2021, provide an outlook update and then take questions from analysts.,We have a slide presentation, which accompanies today’s call, can be accessed by visiting prestigeconsumerhealthcare.com, clicking on the Investors link and then on today’s webcast and presentation. Remember some of the information contained in the presentation today includes non-GAAP financial measures. Reconciliations between the nearest GAAP financial measures are included in today’s earnings release and slide presentation.,During today’s call management will also make forward-looking statements around risks and uncertainties, which are detailed in a complete Safe Harbor disclosure on page two of the slide presentation accompanying the call. These are important to review and contemplate.,As everyone on the call today is well aware, business environment uncertainty remains tightened due to COVID-19. These items include shutdown impacts from many areas of the economy, on-going changes to consumer purchasing habits, the potential for disruptive supply chain, heightened unemployment and many other economic factors. This means that results could change at any time and the forecasted impact of risk considerations is the best estimate based on the information available as of today’s date.,Additional information concerning risk factors and cautionary statements are available in our most recent SEC filings and most recent company 10-K.,I’ll now hand it over to our CEO, Ron Lombardi. Ron?",0.21474358974358976,18.33
3,Ron Lombardi,"Thanks, Phil. Let’s start on slide five.,I’m pleased to report our long-term strategy and business positioning continued to deliver solid results as seen in Q2, where we experienced strong earnings growth and a stable revenue performance. We continue to focus on the critical near term factors that I’ve previously discussed in order to successfully navigate the pandemic environment.,For starters, our long term strategy of providing consumers with a wide range of brands they know and trust continues to work. In this unique time, we continue to see consumers turn to our leading brands to meet their healthcare needs.,Meanwhile, our business continuity efforts have been paying off. We continue to work closely with our manufacturing partners to ensure consistent service levels in this tight supply environment.,In Q2, we continue to find effective ways to optimize our brands during the pandemic as consumer habits have begun to stabilize. We are benefiting from these agile investments in channels such as e-commerce, and our portfolio remains well positioned for the long term.,Finally, our strong operating model and disciplined capital strategy continue to reward stakeholders. We continue to use our industry-leading financial profile to further reduce debt in the quarter. We have reduced leverage levels to the lowest point since 2014, which continues to increase our capital allocation optionality.,So to recap, we continue to feel good about our positioning and the agile adjustments made during COVID-19. Q2 performance reinforces the strength of our business, and we look forward to further benefits.,I’ll now hand it over to Chris to review Q2 financial results.",0.22385714285714287,18.29
4,Christine Sacco,"Thanks, Ron. Let’s turn to slide seven and review our first half financial results.,As a reminder, the information in today’s presentation includes adjusted results that are reconciled to the closest GAAP measure in our earnings release. Q2 revenue of $237.4 million declined 50 basis points on an organic basis versus the prior year, which excludes the effects of foreign currency.,By segment, North America revenues were up 1.3%, positively impacted by the women’s health, analgesics, Oral Care and ear and eye care categories, partially offset by lower cough and cold and GI shipments at certain categories we participate in face declines in incidence levels and usage rates related to COVID-19.,Our international business declined approximately 16% after excluding foreign currency. This decline was primarily attributable to significantly lower sales of Hydralyte in Australia, as a result of COVID-19’s impact to lowering both general consumer illness and activities such as athletic. We anticipate headwinds for the brand and the region to persist for the remainder of the fiscal year.,Adjusted EBITDA and EPS for the second quarter grew approximately 5% and 15%, respectively, versus the prior year. Solid EPS growth was attributable to lower G&A costs and lower interest expense from debt paydown.,Let’s turn slide eight for more detail around consolidated results and first half performance.,For the first half, our revenues were down 60 basis points, excluding foreign currency. Revenue growth continued to benefit from strong consumption trends in the e-commerce channel as consumers continue to shift to online purchasing. We broadly benefited from strength in many brands in our portfolio, but did experience consumption declines in certain categories as a result of COVID-19, most notably the cough, cold and motion sickness categories.,Total company gross margin of 58% was flat to last year’s adjusted gross margin and stable to recent quarters. This was in line with our expectations for Q2 and also what we anticipate for the remainder of fiscal 2021. Advertising and marketing came in at 16.1% of revenue in Q2 and 14.2% for the first six months.,As anticipated, A&M returned to normalized levels in the second quarter. We expect A&M for the full year to be just under 15% as a percent of sales as we continue at a normalized rate of spend in the second half.,G&A expenses declined both for Q2 and the first six months of fiscal 2021 versus the prior year, owed largely to disciplined cost management. For the full year, we anticipate G&A expenses to approximate 9% and remain below prior year in absolute dollars. EPS for the first six months of fiscal 2021 grew approximately 23% versus the prior year. Lower operating costs, lower interest expense and lower share count were all contributors to the strong growth.,Finally, I’d like to provide a few additional comments on below the line items for your modeling purposes. Moving forward, we anticipate our on-going tax rate to approximate 24%, reflecting the recent finalization of tax code changes. For the full year fiscal 2021, we expect interest expense to approximate $83 million.,Now let’s turn to slide nine. In the second quarter, we generated $43.1 million in free cash flow, which was lower than last year due to planned CapEx investments. First half fiscal 2021 total free cash flow of $115.7 million grew 18% versus the prior year.,In the second quarter, we continued to focus on debt reduction and paid down $74 million in debt. At September quarter end, we had approximately $1.5 billion in net debt, which equated to a leverage ratio of 4.3 times. We expect to continue to prioritize debt pay down as our primary use of free cash flow, followed by other opportunistic capital allocation decisions.,And with that, I’ll turn it back to Ron.,Ron Lombardi,Thanks, Chris. Let’s turn to slide 11 to provide an update on our efforts during COVID-19.,Despite the uncertainty caused by the pandemic, a few key factors underpin our strong financial results in the first half and have us well positioned for the balance of the year. We continue to remain focused on safety and business continuity.,Our team members have adapted impressively to this vulnerable environment faced today. This extends to our third-party suppliers who we continue to work closely with in a dynamic supply chain environment. Ultimately, the objective of these efforts is to maintain a laser focus on service levels to our retail partners. Although a continuing effort, I’m pleased to report that we’ve maintained a strong supply chain that’s enabled to remain well stopped at retail.,Now let’s turn to slide 12 for an update around our brands in the current environment. Our broad and diverse portfolio is an invaluable core strength of our business. Not only are we diversified, as shown on the left side of the page, but the vast majority of our key brands have a deep heritage in connection with consumers. The majority of our key brands are number one in their category, which allows us to focus on meeting evolving consumer needs.,These factors provide us a great starting advantage as we navigate the impact of COVID-19. We are leveraging these attributes and investing in our key brands for long-term success. The strategy is working and is evident in our stable results for the first six months, where these factors helped to offset declines in certain categories like travel, sports activities and cost. This diversification and leading positions have also found great tailwinds from various consumer trends during COVID-19.,For example, consumers have increased the use of health and hygiene-related products, while at the same time, being more cautious around time spent in public. The result of this is an accelerated shift to e-commerce shopping, along with consumers increasing purchases of self-care products. Even further, consumers are seeking brands they know and trust during this recession. We are well positioned to from these shifts.,First, we have the benefit of having many leading brands that help consumers treat health incidences at home. We’ve reallocated marketing dollars to opportunities to help with self-care, like Monistat, Compound W and DenTek. Our toolkit is wide ranging. In this example, the end goal is to remind consumers how our leading brands help them avoid a doctor’s visit.,Second, we benefited in a big way from consumers shifting additional purchases into e-commerce. Our early investments in this channel over the last several years continues to pay off. Finally, with 10 of our top dozen brands holding number one market shares, we have the fortunate position of being the trusted go-to brand for consumers in many categories. We continue to benefit from these strengths, resulting in a stable business performance during the pandemic thus far.,Let’s turn to slide 13 to discuss some more specific examples of how we are winning as the consumer shifts to online. Our multiyear investments around e-commerce are delivering impressive results. These investments have led us to achieve market shares above our brick-and-mortar share in many categories.,In the second quarter and first six months, we were able to successfully engage with consumers as their spending patterns continue to shift online. We experienced solid results that are direct results of our efforts and positioning with Q2 consumption e-commerce growing triple digits once again. We’ve also experienced success in omnichannel consumer shopping.,As a leader in consumer healthcare e-commerce, we are pleased to continue to benefit from the growing interest in this channel by consumers. We are continuing to make investments behind online content broadly with the goal of expanding our share of consumers.,The examples on the right side of the page are useful reminders that our investments are wide ranging. Our Monistat.com web page was recently refreshed. And since the refresh, the Monistat site has seen, on average, 300,000 visitors a month, including helping about 90,000 women a month self-diagnose yeast infection with the brand’s symptom checker.,This online tool is one of many examples where we go beyond supplying a product being a consumer’s trusted connection as they research their healthcare needs. We have also enhanced the marketing and communications around our brands that consumers are using at home.,Compound W is one example of this. We are focused on expanding our leading position by using simple to understand marketing that reminds consumers of the ability to treat works effectively at home. These strategies have resonated with consumers, enabling and expanding our strong number one market share position.,To recap, by remaining active and investing around e-commerce, our brands are set up for success. As the pandemic continues to shift consumer preferences, this provides a great positioning for our brands to benefit.,Now let’s turn to slide 14 for a couple of marketing updates. We have achieved portfolio stability by rapidly transitioning our marketing efforts to adapt to the current environment. We continue to adjust our brand-building strategy in real-time, focusing investments around current brand opportunities.,Our largest brand, Summer’s Eve, is engaged in a multi-pronged marketing effort designed to grow household penetration with women over time. With consumers staying at home, we refocused marketing efforts around home workouts for the recently launched Summer’s Eve active product.,Omnichannel efforts have driven consumer awareness and positive feedback and Summer’s Eve active is often listed as a best choice by Amazon when consumers research feminine wash. This is just one of many efforts that is driving Summers Eve solid sales growth year-to-date.,On the right of the page, is Clear Eyes. Brand messaging has evolved during the pandemic to emphasize the brand promise of having brighter, lighter and more comfortable eyes. We focused on the concept of at home usage and are using time-tested brand building tactics.,Most recently, we have a new spokesperson, Supermodel Hilary Rhoda. As a Clear Eyes user, she demonstrates the ability Clear Eyes has of giving a consumer great redness relief at a great price.,Now let’s turn to slide 16 to discuss our outlook. More than halfway through the year, our business positioning and execution of the strategy behind it have resulted in a stable top line performance that is driving meaningful cash flow and earnings growth. The portfolio diversity and our business strategy highlighted today, position us to continue to maintain and grow market share across our key brands in coming quarters.,Given our recent stability, we are offering full year guidance based on the trends we are seeing today. For the full fiscal year 2021, we anticipate revenue of approximately $925 million. This outlook reflects our assumption that the business trends and stability experienced in Q2 continues into the second half, along with a headwind in the second half during the peak season for cough and cold products.,Most importantly, we remain committed to our long-term brand building and investment strategy to position our portfolio for long-term sales growth. We also anticipate adjusted EPS of approximately $3.18 in fiscal 2021. Our cost management efforts, along with the benefit of our capital allocation strategy and debt reduction, enabling full year earnings growth of high single digits.,Last, our strong and stable free cash flow remains a company’s strength. Free cash flow is expected to be at or above last year’s level of $207 million. As always, we intend to execute a disciplined capital allocation strategy with a near-term focus on debt reduction to drive shareholder value.,With that, I’ll open it up for questions.,Question-and-Answer Session",0.13227471947621205,14.69
5,Operator,[Operator Instructions] Our first question comes from the line of Rupesh Parikh of Oppenheimer. Your question please?,0.25,10.46
7,Ron Lombardi,"Good morning, Maddie. This is Ron here. So we’re still really early in seeing how COVID impacts consumers. But at this point, we don’t anticipate any changes to the long-term category sizes. And it’s still really too early to tell what to expect in terms of the rate of recovery at this point.",0.275,6.5
8,Maddie Stone,"Okay. Great. That’s helpful. And then secondly, on cough and cold, so what percent of your business is roughly cough and cold? And then how do you see the current environment playing out? And where are you seeing the challenges here? Is it less mobility that could lead to a softer season?",-0.02083333333333332,7.51
9,Ron Lombardi,"So cough cold is about 10% of our sales. And really, the anticipated impact in the second half of the year is expected to be driven by incident levels, right? Consumer habits have changed. People are traveling less. They’re out at public less. Kids are spending less time in the classroom or in other activities. So just as we saw in the Southern Hemisphere, right, they just finished up their cough cold flu season in the last couple of months here, we anticipate the incident levels to be down significantly versus last year.",-0.061155202821869495,8.33
10,Maddie Stone,"Okay, great. That’s helpful. Thanks so much, I’ll help pass it on.",0.425,4.8
11,Ron Lombardi,Thank you.,0.0,0.8
12,Operator,Thank you. Our next question comes from Mitch Pinhero of Sturdivant. Your question please?,0.0,5.66
13,Mitch Pinhero,"Yes, good morning. Thanks for taking my questions. Question number one is, so Chris, I don’t know if I heard this right, but you’re going to -- you’re expecting to increase advertising and marketing back to sort of normal levels in the second half. Is that correct?",0.1670068027210884,7.21
14,Christine Sacco,That’s correct.,0.0,0.8
15,Mitch Pinhero,"And so as it relates to -- your sales guidance just looks like we’re going to still see continued year-over-year decline. I mean, are you getting the same bang for your buck? Is this something where -- I mean, you’re spending just to maintain or reallocating within your categories. Can you talk a little bit about your strategy around advertising and marketing in the second half and how it relates to sales?",-0.16319444444444445,10.43
16,Ron Lombardi,"So Mitch, let me start with, I think, some clarity around our outlook for the second half. So our outlook for the second half really is based on the stability that we’ve seen in our business. In the most recent quarter and really through October, where it gets funky is when you start to compare our outlook to last year.,As a reminder, we’re going to be comping in the quarter end of March. The big COVID lift that many companies and we saw in March last year. So the first thing is that we’re really not anticipating a decline, but rather continued stability in our business. And that’s, I think, the most important thing to take away.,The second is, if you dig in into the different pieces of our business, what you’ll find is that so our consumption was down about 1%, I believe, in the second quarter. If you pull out the COVID impacted categories, so like Dramamine for motion sickness, cough cold, the convenience channel, you’d see that the consumption level for our business in the second quarter was about 2%, which is consistent with the trends that we’ve been seeing for a while now. So I think it’s important to emphasize really the stability that we’re seeing across the vast majority of our business with some disruption for these COVID-disrupted categories. So that’s the first part.,The second part is then we’ve been quick and agile to readjust our marketing investment and spend. And I think our results in the second quarter and really in the first quarter and the gains that we’ve had in e-commerce and the omni-channel, I think are great examples of our ability to understand what’s going on with the consumer in being able to line up our investments against those changes. So I hope that provides a little color to your questions.",0.13491512345679013,13.7
17,Mitch Pinhero,"Yes, very helpful. And I guess just one other question is, so you have an interesting portfolio of sales categories, pretty broad. Are -- when you look at your -- the diversification that you have among the categories, do you feel that you number one, there is -- are there categories that you’re interested in getting bigger in the near term, either through M&A or stronger sort of the marketing focus that you just touched on? Or I mean, are you happy with your portfolio and the categories that you’re in? It’s sort of frustrating just to see how COVID affected some of these categories? Certainly, it sort of came out very unexpected, how this all played out. But is there anything in the portfolio that you’re looking to either overemphasize or underemphasize?",0.1284065934065934,10.21
18,Ron Lombardi,"Sure. So the first of those questions there is, are we happy with our portfolio, and it’s a strong response, which is yes. And it’s because that the portfolio is heavily concentrated around number one brands that have substantial leading positions in the categories that could compete in. And this is even true for the COVID disruptive categories. We still continue to feel very good about Dramamine, right? It’s number one, it’s got a 50-plus percent share. We continue to look for ways to invest to position that brand to grow the category and its share over the long term.,So even with the brands that are disrupted by COVID, we continue to feel good with them. And certainly, we’re going to overemphasize and concentrate our investments in our power core brands, right? So we have five brands that make up over 50% of our sales, and we’re going to be looking to concentrate our investments around there. Summer’s Eve, Monistat, Clear Eyes, DenTek is where we’ll be concentrating our efforts and looking for our largest areas of growth long term. I think it’s -- as an example, Summer’s Eve has had solid growth year-to-date in the high, mid-single digit growth year-over-year. So we continue to feel good about those big brands as well.",0.2993915343915344,10.74
19,Mitch Pinhero,"Okay, thanks for taking my question.",0.35,2.4
20,Ron Lombardi,"Sure, thank you, Mitch.",0.5,1.6
21,Operator,Our next question comes from Steph Wissink of Jefferies. Your line is open.,0.0,2.6
22,Steph Wissink,"Thank you. Good morning, everyone. Three really quick ones. Chris, the first is for you, is just on the reported quarter. I think you had guided kind of down mid-single relative to where you came out down just a touch. If you could just help us bridge where the performance of the business was relative to your expectations kind of either by brand segment or just overall revenue composition?,And then Ron, a question for you on e-commerce, because you’ve talked a lot about it as it’s an untracked channel. There’s a lot of growth there. Have you done any benchmarking around your market share online versus in bricks and mortar? And then how does that factor into your ad spend composition between digital activation versus at shelf activation?",0.19747474747474747,8.9
